,movie_name,imdb_id,cast,direction,production_companies,movie_budget,movie_revenue
0,Blue Beetle,tt9362930,"{'Xolo Mariduena': 'Jaime Reyes / Blue Beetle', 'Bruna Marquezine': 'Jenny Kord', 'Susan Sarandon': 'Victoria Kord', 'Raoul Max Trujillo': 'Carapax', 'Belissa Escobedo': 'Milagros Reyes', 'Damián Alcázar': 'Alberto Reyes', 'Elpidia Carrillo': 'Rocío Reyes', 'George Lopez': 'Rudy Reyes', 'Becky G': 'Khaji-Da (voice)', 'Harvey Guillén': 'Dr. Sanchez', 'Carlos Ponce': 'Bentley Owner', 'Jackson Spidell': 'Black Ops Leader'}",['Ángel Manuel Soto'],"['Warner Bros. Pictures', 'The Safran Company', 'DC Films']",120000000,128563796
1,Spider-Man: Across the Spider-Verse,tt9362722,"{'Shameik Moore': 'Miles Morales / Spider-Man (voice)', 'Hailee Steinfeld': 'Gwen Stacy / Spider-Woman (voice)', 'Jason Schwartzman': 'Jonathan Ohnn / Spot (voice)', 'Oscar Isaac': ""Miguel O'Hara / Spider-Man 2099 (voice)"", 'Brian Tyree Henry': 'Jeff Morales (voice)', 'Luna Lauren Velez': 'Rio Morales (voice)', 'Jake Johnson': 'Peter B. Parker / Spider-Man (voice)', 'Issa Rae': 'Jessica Drew / Spider-Woman (voice)', 'Karan Soni': 'Pavitr Prabhakar / Spider-Man India (voice)', 'Shea Whigham': 'George Stacy (voice)', 'Greta Lee': 'LYLA (voice)', 'Amandla Stenberg': 'Margo Kess: Spider-Byte (voice)', 'Jharrel Jerome': 'Miles G. Morales (voice)', 'Andy Samberg': 'Ben Reilly / Scarlet Spider (voice)', 'Jack Quaid': 'Peter Parker / The Lizard (voice)', 'Rachel Dratch': 'Ms. Weber (voice)', 'Jorma Taccone': ""Adriano Tumino / '67 (voice)"", 'Daniel Kaluuya': 'Hobie Brown / Spider-Punk (voice)', 'Mahershala Ali': 'Uncle Aaron (voice)', 'J.K. Simmons': 'J. Jonah Jameson (voice)', 'Donald Glover': 'Aaron Davis', 'Elizabeth Perkins': 'May / Quippy Spider-Person (voice)', 'Kathryn Hahn': 'Doc Ock (voice)', 'Ayo Edebiri': 'Glory (voice)', 'Peter Sohn': 'Ganke (voice)', 'Melissa Sturm': 'Mary Jane (voice)', 'Taran Killam': 'Web-Slinger (voice)', 'Metro Boomin': 'Metro Spider-Man (voice)', 'Josh Keaton': 'Spectacular Spider-Man (voice)', 'Sofia Barclay': 'Malala Windsor: Spider-UK (voice)', 'Yuri Lowenthal': 'Insomniac Spider-Man (voice)', 'Al Rodrigo': 'Additional Voices (voice)', 'Christopher Miller': 'Additional Voices (voice)', 'Jacqueline Pinol': 'Additional Voices (voice)', 'June Christopher': 'Additional Voices (voice)', 'Phil Lord': 'Additional Voices (voice)', 'Caitlin McKenna': 'Additional Voices (voice)', 'Andrew Morgado': 'Additional Voices (voice)', 'Kimiko Glenn': 'Peni Parker (voice) (uncredited)', 'Peggy Lu': 'Mrs. Chen (archive footage) (uncredited)', 'Andrew Garfield': 'Peter Parker / Spider-Man (archive footage) (uncredited)', 'Denis Leary': 'Captain Stacy (archive footage) (uncredited)', 'Tobey Maguire': 'Peter Parker / Spider-Man (archive footage) (uncredited)', 'Cliff Robertson': 'Ben Parker (archive footage) (uncredited)', 'Alfred Molina': 'Doctor Octopus (voice) (archive footage) (uncredited)', 'Post Malone': 'Brooklyn Bystander (voice) (archive footage) (uncredited)', 'John Mulaney': 'Peter Porker / Spider-Ham (voice) (archive footage) (uncredited)'}","['Joaquim Dos Santos', 'Justin K. Thompson', 'Kemp Powers']","['Columbia Pictures', 'Sony Pictures Animation', 'Lord Miller', 'Pascal Pictures', 'Arad Productions']",100000000,683241751
2,The Flash,tt0439572,"{'Ezra Miller': 'Barry Allen / The Flash', 'Sasha Calle': 'Kara Zor-El / Supergirl', 'Michael Keaton': 'Bruce Wayne / Batman', 'Michael Shannon': 'General Zod', 'Ron Livingston': 'Henry Allen', 'Maribel Verdú': 'Nora Allen', 'Kiersey Clemons': 'Iris West', 'Antje Traue': 'Faora-Ul', 'Saoirse-Monica Jackson': 'Patty Spivot', 'Jeremy Irons': 'Alfred Pennyworth', 'Temuera Morrison': 'Thomas Curry', 'Sanjeev Bhaskar': 'David Singh', 'Nikolaj Coster-Waldau': 'Pizza Guy', 'Gabriel Constantin': 'Head Scientist', 'Andy Muschietti': 'Hot Dog Reporter', 'Ben Affleck': 'Bruce Wayne / Batman (uncredited)', 'Gal Gadot': 'Diana Prince / Wonder Woman (uncredited)', 'Nicolas Cage': 'Superman (uncredited)', 'George Clooney': 'Bruce Wayne (uncredited)', 'Jason Momoa': 'Arthur Curry / Aquaman (uncredited)'}",['Andy Muschietti'],"['Warner Bros. Pictures', 'Double Dream', 'The Disco Factory', 'DC Films']",300000000,268375616
4,Guardians of the Galaxy Vol. 3,tt6791350,"{'Chris Pratt': 'Peter Quill / Star-Lord', 'Zoe Saldaña': 'Gamora', 'Dave Bautista': 'Drax the Destroyer', 'Karen Gillan': 'Nebula', 'Pom Klementieff': 'Mantis', 'Vin Diesel': 'Groot (voice)', 'Bradley Cooper': 'Rocket (voice)', 'Sean Gunn': 'Kraglin / Young Rocket (voice)', 'Chukwudi Iwuji': 'The High Evolutionary', 'Will Poulter': 'Adam Warlock', 'Maria Bakalova': 'Cosmo (voice)', 'Elizabeth Debicki': 'Ayesha', 'Sylvester Stallone': 'Stakar Ogord', 'Stephen Blackehart': 'Steemie Blueliver', 'Nico Santos': 'Recorder Theel', 'Miriam Shor': 'Recorder Vim', 'Linda Cardellini': 'Lylla', 'Asim Chaudhry': 'Teefs', 'Mikaela Hoover': 'Floor', 'Judy Greer': 'War Pig (voice)', 'Tara Strong': 'Mainframe (voice)', 'Michael Rosenbaum': 'Martinex', 'Molly C. Quinn': 'Molly Ravager', 'Dee Bradley Baker': 'Blurp (voice)', 'Jennifer Holland': 'Administrator Kwol', 'Nathan Fillion': 'Master Karja', 'Tiffany Smith': 'Orgocorp Host Friniki', 'Daniela Melchior': 'Ura', 'Renae Moneymaker': 'Violent Orgosentry', 'Randy Havens': 'Till', 'Lloyd Kaufman': 'Gridlemop (voice)', 'Seth Green': 'Howard the Duck (voice)', 'Christopher Fairbank': 'Broker', 'Natalia Safran': 'Controller', 'Michael Rooker': 'Yondu Udonta', 'James Gunn': 'Lamb-Shank (voice)', 'Pete Davidson': 'Phlektik', 'Gregg Henry': 'Grandpa Quill'}",['James Gunn'],"['Marvel Studios', 'Kevin Feige Productions']",250000000,845430302
5,Teenage Mutant Ninja Turtles: Mutant Mayhem,tt8589698,"{'Micah Abbey': 'Donatello (voice)', 'Nicolas Cantu': 'Leonardo (voice)', 'Brady Noon': 'Raphael (voice)', 'Ayo Edebiri': ""April O'Neil (voice)"", 'Maya Rudolph': 'Cynthia Utrom (voice)', 'John Cena': 'Rocksteady (voice)', 'Seth Rogen': 'Bebop (voice)', 'Rose Byrne': 'Leatherhead (voice)', 'Natasia Demetriou': 'Wingnut (voice)', 'Giancarlo Esposito': 'Baxter Stockman (voice)', 'Jackie Chan': 'Splinter (voice)', 'Ice Cube': 'Superfly (voice)', 'Paul Rudd': 'Mondo Gecko (voice)', 'Post Malone': 'Ray Fillet (voice)', 'Hannibal Buress': 'Genghis Frog (voice)', 'Michael Badalucco': 'Bad Bernie (voice)', 'John Capodice': 'Cab Driver (voice)', 'David Faustino': 'Normal Nate (voice)', 'Danny Mastrogiorgio': 'Toupee Tom / Police Officer (voice)', 'Kevin Eastman': 'Good Human (voice)', 'Alex Hirsch': 'Bossy Goon / Scumbug (voice)'}",['Jeff Rowe'],"['Paramount', 'Nickelodeon Movies', 'Point Grey Pictures', 'Cinesite Animation', 'Mikros Animation']",75000000,180000000
6,"Miraculous: Ladybug & Cat Noir, The Movie",tt10364034,"{'Annouck Hautbois': 'Marinette Dupain-Cheng / Ladybug (voice)', 'Benjamin Bollen': 'Adrien Agreste / Cat Noir (voice)', 'Fanny Bloc': 'Alya Césaire (voice)', 'Antoine Tomé': 'Gabriel Agreste / Hawk Moth (voice)'}",['Jeremy Zag'],"['ON Animation Studios', 'The Awakening Production', 'SND', 'Zagtoon', 'Method Animation', 'Fantawild', 'Mediawan']",86000000,37700000
7,Spider-Man: No Way Home,tt10872600,"{'Tom Holland': 'Peter Parker / Spider-Man', 'Zendaya': ""Michelle 'MJ' Jones"", 'Benedict Cumberbatch': 'Stephen Strange / Doctor Strange', 'Jacob Batalon': 'Ned Leeds', 'Jon Favreau': ""Harold 'Happy' Hogan"", 'Jamie Foxx': 'Max Dillon / Electro', 'Willem Dafoe': 'Norman Osborn / Green Goblin', 'Alfred Molina': 'Dr. Otto Octavius / Doctor Octopus', 'Benedict Wong': 'Wong', 'Tony Revolori': ""Eugene 'Flash' Thompson"", 'Marisa Tomei': 'May Parker', 'Andrew Garfield': 'Peter Parker / Spider-Man', 'Tobey Maguire': 'Peter Parker / Spider-Man', 'Angourie Rice': 'Betty Brant', 'Arian Moayed': 'Agent Cleary', 'Paula Newsome': 'MIT Assistant Vice Chancellor', 'Hannibal Buress': 'Coach Wilson', 'Martin Starr': 'Mr. Harrington', 'J.B. Smoove': 'Mr. Dell', 'J.K. Simmons': 'J. Jonah Jameson', 'Rhys Ifans': 'Dr. Curt Connors / The Lizard', 'Charlie Cox': 'Matt Murdock', 'Thomas Haden Church': 'Flint Marko / Sandman', 'Ben VanderMey': 'Man in Car', 'Gary Weeks': 'Agent Foster', 'Cristo Fernández': 'Bartender', 'Tom Hardy': 'Eddie Brock / Venom (uncredited)', 'Jake Gyllenhaal': 'Mysterio / Quentin Beck (archive footage) (uncredited)', 'Harry Holland': 'Shaker kid (uncredited)'}",['Jon Watts'],"['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",200000000,1921847111
9,Ant-Man and the Wasp: Quantumania,tt10954600,"{'Paul Rudd': 'Scott Lang / Ant-Man', 'Evangeline Lilly': 'Hope van Dyne / The Wasp', 'Jonathan Majors': 'Kang the Conqueror', 'Kathryn Newton': 'Cassie Lang', 'Michelle Pfeiffer': 'Janet van Dyne', 'Michael Douglas': 'Dr. Hank Pym', 'Corey Stoll': 'M.O.D.O.K.', 'Bill Murray': 'Lord Krylar', 'David Dastmalchian': 'Veb (voice)', 'Jamie Andrew Cutler': 'XOLUM', ""Katy O'Brian"": 'Jentorra', 'Randall Park': 'Jimmy Woo', 'Patricia Belcher': 'Ant-Man Fan', 'Gregg Turkington': 'Dale', 'Ryan Bergara': 'Toasting Man', 'Marielle Scott': 'Toasting Woman', 'Roger Craig Smith': 'Quantumnaut Voices (voice)', 'Matthew Wood': 'Quantumnaut Voices (voice)', 'Tom Hiddleston': 'Loki (uncredited)', 'Owen Wilson': 'Mobius M. Mobius (uncredited)', 'Abby Ryder Fortson': 'Cassie Lang (archive footage) (uncredited)'}",['Peyton Reed'],"['Marvel Studios', 'Kevin Feige Productions']",200000000,476071180
10,Knights of the Zodiac,tt6528290,"{'Mackenyu': 'Seiya / The Pegasus Knight', 'Madison Iseman': 'Sienna / Athena', 'Diego Tinoco': 'Nero / The Pheonix Knight', 'Mark Dacascos': 'Mylock', 'Nick Stahl': 'Cassios', 'Famke Janssen': 'Guraad', 'Sean Bean': 'Alman Kido', 'T.J. Storm': 'Docrates'}",['Tomek Baginski'],"['Stage 6 Films', 'Toei Animation', 'Convergence Entertainment']",60000000,6794519
11,Avengers: Infinity War,tt4154756,"{'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Chris Hemsworth': 'Thor Odinson', 'Mark Ruffalo': 'Bruce Banner / Hulk', 'Chris Evans': 'Steve Rogers / Captain America', 'Scarlett Johansson': 'Natasha Romanoff / Black Widow', 'Benedict Cumberbatch': 'Stephen Strange / Doctor Strange', 'Tom Holland': 'Peter Parker / Spider-Man', 'Chadwick Boseman': ""T'Challa / Black Panther"", 'Don Cheadle': ""James 'Rhodey' Rhodes / War Machine"", 'Zoe Saldaña': 'Gamora', 'Karen Gillan': 'Nebula', 'Elizabeth Olsen': 'Wanda Maximoff / Scarlet Witch', 'Paul Bettany': 'Vision', 'Anthony Mackie': 'Sam Wilson / Falcon', 'Sebastian Stan': ""James 'Bucky' Barnes / Winter Soldier"", 'Tom Hiddleston': 'Loki', 'Idris Elba': 'Heimdall', 'Danai Gurira': 'Okoye', 'Peter Dinklage': 'Eitri', 'Benedict Wong': 'Wong', 'Pom Klementieff': 'Mantis', 'Dave Bautista': 'Drax', 'Vin Diesel': 'Groot (voice)', 'Bradley Cooper': 'Rocket (voice)', 'Gwyneth Paltrow': ""Virginia 'Pepper' Potts"", 'Benicio del Toro': 'Taneleer Tivan / The Collector', 'Josh Brolin': 'Thanos', 'Chris Pratt': 'Peter Quill / Star-Lord', 'Sean Gunn': 'On-Set Rocket', 'William Hurt': ""Secretary of State Thaddeus 'Thunderbolt' Ross"", 'Letitia Wright': 'Shuri', 'Terry Notary': 'Cull Obsidian / On-Set Groot', 'Carrie Coon': 'Proxima Midnight (voice)', 'Stan Lee': 'Bus Driver', 'Kerry Condon': 'Friday (voice)', 'Monique Ganderton': 'On-Set Proxima Midnight', 'Jacob Batalon': 'Ned Leeds', 'Ariana Greenblatt': 'Young Gamora', 'Ross Marquand': 'Johann Schmidt / Red Skull (Stonekeeper)', 'Matthew Zuk': 'Street Pedestrian #2', 'Kenneth Branagh': 'Asgardian Distress Call (voice) (uncredited)', 'Samuel L. Jackson': 'Nick Fury (uncredited)', 'Cobie Smulders': 'Maria Hill (uncredited)', 'Harrison Osterfield': 'Boy on Bus (uncredited)'}","['Anthony Russo', 'Joe Russo']",['Marvel Studios'],300000000,2052415039
