,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,2 December 2020,Abdulxoxo,8," The most important film in MCU
","As I was watching this movie today, I realized it's one of the most important film in mcu. It has tons of elements that are used heavily in future MCU films, eg",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
1,18 January 2021,r96sk,7," An enjoyable ride
","Cool seeing them all together again, even if I didn't massively enjoy it. It's good, nothing more or less in my opinion.",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
2,8 May 2016,Movie_Muse_Reviews,7," Messier, for sure, but still plenty of ""Avengers"" fun
","The task of bringing together Earth's mightiest heroes took Joss Whedon into uncharted territory with 2012's ""The Avengers,"" and, despite the weight of the Marvel Cinematic Universe on his shoulders, the results were staggeringly entertaining. The task of making a sequel to that ground-breaking, monumental event film, however, and being expected to deliver on par or better results, is an entirely different beast.",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
3,14 December 2015,xamtaro,6," The son of Megatron and Skynet meets Tony Stark and his Amazing Friends
","In 2012, there came a day unlike any other day where the worlds greatest heroes were united against a common threat and THE AVENGERS blew away audiences of all ages with the first ever comic book movie crossover. In 2015, there came another day unlike any other day and this time the world is threatened by a Ultron, the cynical critical atypical child of Skynet and Megatron...... No actually he's just a wisecracking artificial intelligence with delusions of godhood and all round evil. Turning on his creators, he threatens all life on earth with his sidekicks ""illusion- woman"" and ""not-the-flash""....I mean, Scarlet Witch and Quicksilver, and it is up to the Avengers to take him out before he can usher in THE AGE OF ULTRON. ",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
4,12 December 2020,sammielimehouse,8," Avengers: Age of Ultron (2015) Review - 8.3/10
","This film isn't nearly as bad as some people make it out to be. While the story isn't as good as the first Avengers, the acting is still just as good, the action is even better, and Ultron isn't a bad villain, he's just an under-developed one. Honestly, the action makes up for most of the flaws of this movie and it also set up a lot of MCU films, or at least foreshadowed a lot. Movies like Black Panther, Avengers: Infinity War/Endgame, and Captain America: Civil War. Overall, this isn't a bad film, at all, but it is the weakest of The Avengers franchise.",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
5,5 March 2016,tieman64,," Behold, the world's largest conveyor belt
","""People stopped being people in 1913. That was the year Henry Ford put his cars on rollers and made his workers adopt the speed of the assembly line. At first, workers rebelled. They quit in droves. Now we plug right into repetitive motions of a hundred kinds."" - Jeffrey Eugenides ",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
6,21 April 2021,andreascaloni,7," VERY GOOD SEQUEL
","In Avengers Age of Ultron the Avengers fight Ultron, an artificial intelligence obsessed with causing human extinction. The movie is a mostly satisfying sequel. It's full of action and darker than the first one. Sometimes it has a great sense of humour, the main villain is well characterized and the final act is full of tension and emotional. However in the first half isn't always gripping and there are some ridicolous moments. It isn't as good as the first one but it's still a fun and entertaining ride to join.",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
7,10 September 2018,Top_Dawg_Critic,7," Not one of the top Avengers films
",One user nailed it... underwhelming. ,/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
8,8 May 2016,ivo-cobra8,10," Avengers: Age of Ultron is a damn good Superhero flick, excellent sequel!
","Avengers: Age of Ultron (2015) is a MARVEL damn good superhero flick and an excellent sequel! Yes it is miles way better than Jurassic World and Star Wars: The Force Awakens and Terminator Genisys I have enjoyed this film much better than Jurassic World, Star Wars and Terminator the new movies. ",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
9,26 April 2016,sam_smithreview,5," What a Shame, we live where Studio's take control
","being a huge Marvel fan, and also Josh Whedon fan I was super excited for him to come back and do another Avengers movie. The first film was pretty brilliant. But with this film, Whedon wasn't given much air to breathe, with constant Studio interference and orders of certain shots to be re- done, or scrapped if not worse. Put in.",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
10,25 April 2015,A_Different_Drummer,9," Assorted Trivia for AV2....
","Can this film possibly ""not"" succeed? No. Even if it were a bomb (which it is most definitely not) tens of millions of fans would see it anyway. So it was a guaranteed hit. Nice work if you can get it.",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
11,21 August 2015,siderite,8," Action followed by action then, surprisingly, some character development. Then some more action.
","So everybody must be asking now: ""Is it worth watching more than two hours of this just to get to the obligatory Thanos end credits scene?"" and the answer is... yes. Besides making fun of War Machine - again - and completely ignoring characters like Pepper Potts and Falcon, there was nothing that bothered me tremendously about this film. Keep in mind that it is a comic book film with superheros that dress funny, though.",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
12,28 April 2015,Theo Robertson,5," Never As Profound As It Thinks It Is
","I really should keep up on Superhero movies . But there's a reason I don't - I simply don't like them . They personify everything I dislike about modern Hollywood blockbusters , lots of explosions , lots of stunts and lots of CGI . It's less like watching a film and more like logging on to youtube and watching gameplay of the latest state of the art computer game ",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
13,6 September 2015,claudio_carvalho,8," Impressive Special Effects and Cast
","The Avengers raid a Hydra base in Sokovia commanded by Strucker and they retrieve Loki's scepter. They also discover that Strucker had been conducting experiments with the orphan twins Pietro Maximoff (Aaron Taylor-Johnson), who has super speed, and Wanda Maximoff (Elizabeth Olsen), who can control minds and project energy. Tony Stark (Robert Downey Jr.) discovers an Artificial Intelligence in the scepter and convinces Bruce Banner (Mark Ruffalo) to secretly help him to transfer the A.I. to his Ultron defense system. However, the Ultron understands that is necessary to annihilate mankind to save the planet, attacks the Avengers and flees to Sokovia with the scepter. He builds an armature for self-protection and robots for his army and teams up with the twins. The Avengers go to Clinton Barton's house to recover, but out of the blue, Nick Fury (Samuel L. Jackson) arrives and convinces them to fight against Ultron. Will they succeed? ",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
14,29 April 2015,rannynm,10," Another Monumental Marvel Movie!
","The Avengers assemble once again go up against a new corrupt, A.I. Ultron (James Spader). As the troupe pursue their mission, we're given a deeper understanding of our favorite super heroes. ",/review/rw3238460/?ref_=tt_urv,Avengers_Age_of_Ultron_2015
