,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,14 November 2022,Drawmort,6," Not what I expected...
",I am conflicted with this film and with Marvel.,/review/rw9054025/?ref_=tt_urv,Black_Panther_Wakanda_Forever_2022
1,27 November 2022,frankiesilver-91836,6," A very bold but fairly underwhelming, slow, and bloated Marvel project.
","I never thought the original Black Panther was anywhere near being the best solo Marvel movie, but I did enjoy it and T'Challa's character throughout his appearances. With that being said, when Chadwick Boseman sadly passed, I accepted that this franchise was doomed. I always believed that recasting T'Challa was the only way to go. It would've been incredibly hard to find a good replacement, but the character is very important to the Marvel universe. It is also simply too soon to pass the mantle of Black Panther on. When they confirmed he wouldn't be recast, I felt like it was a big mistake narratively.",/review/rw9054025/?ref_=tt_urv,Black_Panther_Wakanda_Forever_2022
2,26 November 2022,lord_orsum,6," Too long, too muddled
","Let's start with the good points - this film doesn't try to be all comedy and spectacle, like the recent Dr Strange 2 and Thor 4. In fact, there is almost zero comedy at all.",/review/rw9054025/?ref_=tt_urv,Black_Panther_Wakanda_Forever_2022
3,18 November 2022,Kevin-42,," Wakanda: It felt like forever!
","Sorry, but this was boring. Mind-numbing boring. Sleep-inducing boring. ""Are we there,yet?""-boring.",/review/rw9054025/?ref_=tt_urv,Black_Panther_Wakanda_Forever_2022
4,2 January 2023,Benjamin-M-Weilert,6," Phase 4 MCU's average movie to end an average phase
","As the last film in the fourth phase of the Marvel Cinematic Universe (MCU), Black Panther: Wakanda Forever (2022) proves that there was no plan for this phase other than to clean up the remains of the Infinity War saga. To its credit, though, Wakanda Forever was burdened with finding an in-universe replacement for the titular Black Panther after the untimely passing of Chadwick Boseman. However, considering how most of Phase 4 was passing the mantle from one hero to the next generation, it fits well within this theming.",/review/rw9054025/?ref_=tt_urv,Black_Panther_Wakanda_Forever_2022
5,18 December 2022,silicontourist,6," A Boring Waste Of Time As Its A Lousy Storyline That Had No Depth To It Whatsoever!
","The only reason this is scoring a five from me is because of the good CGI, magnificent costumes and wonderful scene shots. Sadly none of that could save this terrible story which the director made it look like he was clueless as what to do with it. Not his fault really as it was woefully lacking in worth, tension, excitement, interest or quality in any way. My personal thoughts as I sat watching it (fighting hard with myself not to just switch it off) was that if they had no creative outstanding story for a sequel then Hollywood should have stopped just trying to cash in on what they thought would be a successful film franchise; whereas instead they made one of the most disappointing rubbish sequels of a film.",/review/rw9054025/?ref_=tt_urv,Black_Panther_Wakanda_Forever_2022
6,11 November 2022,Jeremy_Urquhart,8," I liked it a lot
","Phase 4's MCU comes to a close with Black Panther: Wakanda Forever. It's been a truly inconsistent run of films. There was the good (Shang-Chi, Spider-Man, some of Dr. Strange 2), the eh (other parts of Dr. Strange 2, Black Widow and Eternals), and the ugly (Thor 4, which is easily the worst MCU movie so far). If this movie had been bad, it might have been enough to make me bail on keeping up with the MCU's movies, and truth be told, I've already bailed on the Disney+ series', because WandaVision, Falcon & Winter Soldier, and Loki really didn't do it for me.",/review/rw9054025/?ref_=tt_urv,Black_Panther_Wakanda_Forever_2022
7,17 November 2022,slightlymad22,6," Underwhelming, But OK
",I just got out of Black Panther,/review/rw9054025/?ref_=tt_urv,Black_Panther_Wakanda_Forever_2022
8,10 November 2022,MrDHWong,8," Pays an appropriately sombre tribute to its recently deceased lead actor by showing how things can still move forward in the wake of his absence
","""Black Panther: Wakanda Forever"" is the sequel to 2018's ""Black Panther"" and the 30th film in the Marvel Cinematic Universe. Directed and co-written by Ryan Coogler (""Fruitvale Station"", ""Creed""), it pays an appropriately sombre tribute to its recently deceased lead actor by showing how things can still move forward in the wake of his absence.",/review/rw9054025/?ref_=tt_urv,Black_Panther_Wakanda_Forever_2022
9,19 November 2022,Chanandler-Bong,6," Overall, weak
","This film had some great stuff in it, there's no doubt of that, but I felt it was overall weak. I can't imagine how hard it was for everyone in the film to come back without a lead, and most importantly, their friend. Chadwick's passing is unbelievably sad but it did leave a gap for Marcel to fill, and they could have done it so well. But they didn't.",/review/rw9054025/?ref_=tt_urv,Black_Panther_Wakanda_Forever_2022
