,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,7 November 2021,cricketbat,6," Why wasn't she given a movie back in 2011 or 2012?
","After all these years, Black Widow finally gets her own standalone movie and... it's okay. I actually found Florence Pugh, David Harbour, and Rachel Weisz to be entertaining additions, but the story felt cobbled together and it was riddled with plot holes. I know Natasha is a very skilled assassin, for instance, but she's almost invulnerable in this. It probably would have been better to give Black Widow her solo film a year or two after Iron Man 2 came out.",/review/rw7186440/?ref_=tt_urv,Black_Widow_2021
1,17 July 2021,preppy-3,6," It was OK--nothing more
",Black Widow ( Scarlett Johansson) must deal with a villain from her past and her long-absent family.,/review/rw7186440/?ref_=tt_urv,Black_Widow_2021
2,21 August 2021,AlsExGal,7," Natasha Romanoff, aka ""The Black Widow"", finally gets to tell her story
","I was expecting a typical, CGI-infused Avenger movie, and it certainly is that. Black Widow, though, has a lot in common with James Bond movies. There's even a scene in which 007 is playing on TV. The Black Widow must stop a Russian General called Dreykov, a sort of SPECTRE czar megalomaniac who ""rescues"" unwanted girls and turns them into super assassins, called widows. Widows go through extensive training. A select few get chosen. The rest are killed. This makes Dreykov a monstrous misogynist, in a movie, directed by a woman, Cate Shortland, which has unmistakable feminist themes. There are two main Black Widows: Scarlett Johansson's character, and Yelena Belova, played by Florence Pugh. Belova is impulsive where Romanoff is introspective. The two are sisters only in that they grew up as part of a Russian cell, in an Ohio suburb, along with Rachel Weisz as their brilliant scientist mother, and David Harbour, as Red Guardian, Russia's version of Captain America, as the dad.",/review/rw7186440/?ref_=tt_urv,Black_Widow_2021
3,10 October 2021,ThomDerd,5," This film is the epitome of...
",...Average filmmaking.,/review/rw7186440/?ref_=tt_urv,Black_Widow_2021
4,31 July 2022,toseale,7," They Should've Had More of These From the Beginning
","After many years and many movies, Black Widow, one of the original Avengers, finally got a movie. And while it wasn't anything groundbreaking, it was still a fun watch. Taking into consideration the splash of spy genre, a pack of new and interesting characters, plenty of action and intensity, I'd say this wasn't a bad movie. It's something exciting, while not totally memorable in the large expanse of the MCU. Scarlett Johansson and Florence Pugh both did great. David Harbor's character was good and definitely became a favorite in the movie, but I think he still has some things to unravel. The ending ""big reveal"" was kind of mediocre, but the final fight swept it under the rug mostly. Hopefully we'll get more of some of these characters in the future so they'll have the time they need to grow. Overall, if you haven't watched it and want a movie to watch while you're bored, I'd recommend this one.",/review/rw7186440/?ref_=tt_urv,Black_Widow_2021
5,12 July 2021,Her-Excellency,9," Marvel.lass film. Just Marvel.lass.
","I am starting to believe that people just rate movies badly or purposefully give them low scores because they have nothing better to do. When a production studio spends so much money and time in delivering a film as entertaining as Black Widow is, and people pay a mere ~$14 to see, then complain about it not being any good, you know they're straight up in dire need of a new hobby.",/review/rw7186440/?ref_=tt_urv,Black_Widow_2021
6,11 July 2021,Johnny_West,1," Just a spy movie, with the TaskMaster & Red Guardian wasted
","This was just a knock-off Bourne or James Bond movie, with the Black Widow and her family of spies as the stars. The action scenes in the dark rooms were really bad, because all the characters are dressed in similar black uniforms, so I had no idea who was doing what most of the time. I guess this was all CGI? It was impossible to follow.",/review/rw7186440/?ref_=tt_urv,Black_Widow_2021
7,11 July 2021,nogodnomasters,8," What a poser
","This comes after the Civil War and before the blink. We get a quick back story of the Black Widow (Scarlett Johansson) quicker than what I had wished. Her entire training is done during the opening credits. I was hoping for more and her conversion etc. We get to meet her pseudo family of Florence Pugh, Rachel Weisz, and David Harbour who we already met as Alexi. Together they must save the world from Draykov (Ray Winstone) and his legion of Black Widows located world wide.",/review/rw7186440/?ref_=tt_urv,Black_Widow_2021
8,10 July 2021,MrDHWong,8," Establishes some previously desired backstory for the original female Avenger while setting things in motion for the future of the MCU
","""Black Widow"" is a superhero film serving as the first entry of Phase Four of the Marvel Cinematic Universe. Starring Scarlett Johannson in the lead role, alongside Florence Pugh, David Harbour, and Rachel Weisz, it establishes some previously desired backstory for the original female Avenger while setting things in motion for the future of the MCU.",/review/rw7186440/?ref_=tt_urv,Black_Widow_2021
9,13 July 2021,SnoopyStyle,8," family
","It's 1995 Ohio. Alexei Shostakov (David Harbour), Melina Vostokoff (Rachel Weisz), and their 'daughters' Natasha Romanoff and Yelena Belova are a Russian sleeper cell working for General Dreykov (Ray Winstone). 21 years later after the events of Civil War, Natasha (Scarlett Johansson) is on the run. She goes for a safe house in Budapest where she runs into Yelena (Florence Pugh).",/review/rw7186440/?ref_=tt_urv,Black_Widow_2021
10,9 July 2021,Calicodreamin,6," FP and DH carried this movie
","Florence Pugh carried this movie, her and David Harbour laid down some seriously good comedic moments. The action was as over the top as any other marvel movie so on brand there. The acting was okay and CGI was expectedly good. It felt like Johansson took a back seat to other characters which was disappointing.",/review/rw7186440/?ref_=tt_urv,Black_Widow_2021
