,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,30 July 2021,AlsExGal,9," A master class in screenwriting
","What impresses me about this movie is how much good was done in a short amount of time for each character. There are really clever time-saving 'tricks' like Tony using the broom to bust open the hatch that caused the Spidey costume to come dangling down. That saved them minutes of precious dialogue; it just cut straight to the point. And during that whole scene in Peter's place, almost every line of dialogue counted toward something important, with just enough 'fluff' to make it sound like a real conversation instead of 'movie dialogue' (the funny asides like 'please move your leg' and 'your ridiculously hot aunt'), etc.",/review/rw3470064/?ref_=tt_urv,Captain_America_Civil_War_2016
1,30 May 2021,Venomage03,10," Captain America: Civil War is one of the best in the MCU
",This movie has a fantastic plot and brings all these characters perfectly on screen. The conflict between Steve and Tony is written so well. Zemo is also a good side villain in this movie. The action scenes were well-made.,/review/rw3470064/?ref_=tt_urv,Captain_America_Civil_War_2016
2,31 March 2021,JWick23,," I could do this all day...
",Captain America: Civil War was a great sequel to Winter Solider. It does take some minimum inspirations from the comics. The elements and plot devices and had outstanding cinematography. A great addition to the MCU.,/review/rw3470064/?ref_=tt_urv,Captain_America_Civil_War_2016
3,7 April 2021,andreascaloni,9," GRIPPING, BOLD AND SMART
","Captain America Civil War is a gripping, bold, smart and awesome superhero movie. It boasts of a talented cast, a great direction and awesome action sequences. Matching spectacular and epic moments with the smarts of a great, grown up thriller, Captain America Civil War is a fun, epic and emotional ride that you won't miss.",/review/rw3470064/?ref_=tt_urv,Captain_America_Civil_War_2016
4,2 July 2017,ivo-cobra8,10," I don't understand the hate a descent awesome MCU super action superhero - Captain America is the king
","I don't understand the hate for this movie it actually surprised me, I really enjoyed this film. Captain America: Civil War is a descent awesome MCU super action the third film of the Captain America trilogy. To me the second movie Captain America: The Winter Soldier is still the best one I just love that movie to death, but I like this one I love the first one but I just love all three of Captain America films. I thought the cast did a good job Chris Evens kicks ass once again he is Captain America and I look this movie from his point of view. He is really become my favorite hero of the Marvel Cinematic Universe and the Avengers films especially Age of Ultron, Captain America is still a guy who has a lot of screen time that it is the focus of a movie and he is still the guy I can take a side I agree with him, I can understand his choices.",/review/rw3470064/?ref_=tt_urv,Captain_America_Civil_War_2016
5,24 July 2021,snoozejonc,8," Huge amount of spectacle & character moments
","When an incident involving Wanda Maximoff causes a deadly explosion in Lagos, the UN want to regulate the use of the Avengers.",/review/rw3470064/?ref_=tt_urv,Captain_America_Civil_War_2016
6,16 December 2021,Ch4ndler_B1ng,9," Marvel at its finest
","Captain America: Civil War is an amazing superhero movie, it features one of the best action sequences in cinematic history (Iron Man's group vs Captain America's group) and Spiderman's reveal made me jump up and down like a mad fanboy (seriously the outfit is so fresh). The music really fits the superhero theme, easily one of the best superhero movies of all time and Chadwick Boseman's performance is great and moving (rest in peace). The character development is perfect (except Black Widow) and it's as good as a superhero movie can get nowadays.",/review/rw3470064/?ref_=tt_urv,Captain_America_Civil_War_2016
7,27 March 2021,Movi3DO,9," #TeamCapWin
","""Are you Tony Stank?""",/review/rw3470064/?ref_=tt_urv,Captain_America_Civil_War_2016
8,23 November 2020,SebMoz,8," Excellent character dynamics
","Captain America: Winter Soldier was everything I wanted from a superhero movie. It was well directed, written and acted, and I was very excited for the next Captain America movie. And this movie most definietly delivered in quality. Is it as good as its predecessor? No, definietly not. There are a few flaws, which I'll talk about later. With that being said, this movie gets 4 things right for every one thing it does wrong. The plot is engaging and for the most part easy to follow and the pacing is solid. The characters all feel very 3-dimentional and fleshed out, and none of them feel different from what we already know. The movie's biggest strength is the interactions between the characters, and the different arguments presented by both sides. I love that despite obviously wanting us to side with Cap's team, the movie doesn't really make one side the ""correct"" one. Both sides present reasonable and logical arguments, and there is no right answer to what the Avengers should do. The new characters such as Black Panther and Spiderman are both very interesting and compelling, and both feel like a natural inclusion to the character list. All this is of course helped by some excellent performances as usual. The direction and cinematography are also both really good, and the action scenes are almost just as good as in Winter Soldier, even though some feel a little meaningless. And, while it might not be a big deal, MAN was it good to see a truly great antagonist in Zemo. He's well written and very well played by Daniel Brühl, and he challenges the ideological perspectives of our hero in a way no other villain in the MCU has done before. With that being said, his plan is somewhat ridiculous, and felt a little too complicated. The movie also feels a little dumb sometimes. It feels like Cap and Stark could've solved the issue much sooner had they just communicated better. Those are my main complaints, and while there are a few other things I could nitpick, nothing really ruins the film by any means. It's a more mature take on the Marvel formula, and while it's the best movie in the franchise, it's still more than good enough for me to recommend it.",/review/rw3470064/?ref_=tt_urv,Captain_America_Civil_War_2016
9,30 August 2020,cotandreea,10," I am proud that Sebastian Stan had the chance to speak Romanian and was a nice introduction of Chadwick Boseman
","I am proud to have a fellow Romanian in the States that represents us, our language and values. I am also super happy that I had seen Chadwick Boseman in this movie, because he was a very good actor. I feel shocked that he died so young.",/review/rw3470064/?ref_=tt_urv,Captain_America_Civil_War_2016
