,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,24 February 2020,Leofwine_draca,6," Not bad, but too generic
","CAPTAIN MARVEL is the latest Marvel comics offering and the follow-up to AVENGERS: INFINITY WAR; inevitably it's a big step down from the success of that movie. This one goes down a much more predictable route, and it suffers hugely from having a main character who simply isn't very interesting; like Superman, her immortality and strength make her rather boring to see on screen. The film also suffers from having an unimposing villain, a crucial climactic scene openly copying RAIDERS OF THE LOST ARK, and generic action. On the plus side: there's a nice supporting turn from a funny and de-aged Samuel L. Jackson; the material on Earth is gently amusing, riffing on the buddy-buddy genre; there's a solid and major plot twist halfway through that really works; and Brie Larson is a decent actress. But they really need to think of something more involved next time instead of this generic amnesic hero stuff.",/review/rw4713478/?ref_=tt_urv,Captain_Marvel_2019
1,22 March 2019,morrison-dylan-fan,5," Captain Meh.
","Travelling to Birmingham to get Easter presents for friends and family,I decided that whilst in the city I would go catch a film. Visiting the oldest working cinema in the UK (The Electric) I found a flick with a run time that would give me just enough time to catch the train home,so I get set to see the new captain of the MCU.",/review/rw4713478/?ref_=tt_urv,Captain_Marvel_2019
2,9 March 2019,phd_travel,2," Confusing boring childish
",The screenplay is convoluted and confusing. The beginning feels like you walked into a movie half way. When things start to get explained it's too late. The humor is unfunny and childish. Samuel L Jackson singing and playing with the cat. The story is so confusing and silly - bouncing around between Earth and the space ships and shifting shapes. Then the good guys are the bad guys.,/review/rw4713478/?ref_=tt_urv,Captain_Marvel_2019
3,6 March 2019,gangstah_vino,7," this movie is good. nothing less or more.
","I don't want to adress the hate, but let's try to forget it for a second and just appreciate the film for what it is: a film. thank you.",/review/rw4713478/?ref_=tt_urv,Captain_Marvel_2019
4,25 March 2019,mtlabfall,1," Practically nothing good about it besides the Kree commando team
","This film
",/review/rw4713478/?ref_=tt_urv,Captain_Marvel_2019
5,8 August 2019,dianamarinelli,8," I don't really get the hate it's not that bad
",I had low expectations going to see this movie because everyone was hating on it but it's not that bad I think it was a good superhero backstory and there is not a lot of feminism in the movie. The acting and the story lines were good.,/review/rw4713478/?ref_=tt_urv,Captain_Marvel_2019
6,6 March 2019,EnoVarma,4," What is there to marvel at?
","I was left with the general feeling, that ""Captain Marvel"" is a major disappointment.",/review/rw4713478/?ref_=tt_urv,Captain_Marvel_2019
7,18 March 2019,vithiet,7," Really wanted to like it more, it's just ok
","So I was hoping this would be a great movie and I could write a review telling misogynists to shut up because it's fantastic to have a strong female superhero as a lead character. Alas, in that regard Wonder Woman did a lot better as a movie as a whole.",/review/rw4713478/?ref_=tt_urv,Captain_Marvel_2019
8,24 September 2019,Koma-Mo,6," An enjoyable, but flawed film that introduces a new character to the MCU
","One major thing that people have said is that this film is great for ""Phase One"" of the MCU and that is absolutely true. The more recent films in this universe either raises the stakes for these heroes, adds more depth to them or does something unique to make it very worth watching. Although, I did enjoy it and want to see more of this character, this film didn't do anything to actually WOW me in any sort of way.",/review/rw4713478/?ref_=tt_urv,Captain_Marvel_2019
9,10 March 2019,kjmondal,6," Great movie!
","I read a lot of bad reviews, and they had me feeling a little disappointed and even contemplating not going to see it in the theatre. But my whole family still wanted to see the movie, so we went as a family (all of us are big Marvel fans) AND... we all LOVED it and are glad that we went. I think the storyline is great and we loved Brie Larson! Give this movie a chance!",/review/rw4713478/?ref_=tt_urv,Captain_Marvel_2019
