,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,24 February 2020,MrHeraclius,," Great
","I was not prepared for the visuals this movie offered. Nevertheless, I absorbed it in its full glory. It was easy to enjoy this movie not only because of its visuals but also because of the quirkiness and lovable characters. A must-watch!",/review/rw3792523/?ref_=tt_urv,Doctor_Strange_(2016
1,26 February 2017,Bored_Dragon,8," ""We never lose our demons, we only learn to live above them""
","I'm not a big fan of Marvel and, in my opinion, their movies are mostly overrated. This one isn't. This is probably the second best Marvel movie, after ""Guardians of the Galaxy"". If you expect a movie to have depth and the point, you should skip, not only this one, but whole Marvel production, but if you are looking for fun you are at the right place. Visually it is amazing. I recommend watching it in theater or at least on a TV as big as possible. Standard computer monitors or, God forbid, tablets are out of question. Although 90% of this movie is pure action and fighting scenes, compared to most of the genre, story and characterization are more complete and Benedict and Tilda are excellent. Sure, like in all Marvel movies, there is a certain amount of humor and finale is one of the funniest things I have ever seen in Marvel movies. The way Strange finally defeats the enemy is at the same time unbelievably stupid, unbelievably clever and funny to tears. I gave it 8/10 within all the movies I ever watched, but within the genre, it is pure 10/10.",/review/rw3792523/?ref_=tt_urv,Doctor_Strange_(2016
2,5 April 2017,SquigglyCrunch,8," Superb Visuals Accompanied by a Solid Script
","Doctor Strange follows a surgeon who, after suffering from a major injury, sets out to search for healing. Instead, he ends up learning about magic.",/review/rw3792523/?ref_=tt_urv,Doctor_Strange_(2016
3,16 December 2020,chinandchin,8," Most amazing CGI ever
","The Jungle book won the Oscar for best visual effect, without a doubt it was very great.. but everything was predictable, it was just perfectly done. However, what Doctor Strange did was more than perfectly done, it's about the most craziest imagination that anyone had ever done in movie industry up to date.",/review/rw3792523/?ref_=tt_urv,Doctor_Strange_(2016
4,11 November 2017,TheLittleSongbird,8," Well worth expanding your mind for
","Saw 'Doctor Strange' (although fairly late perhaps) because of liking the cast a great deal, who can argue with Benedict Cumberbatch and Tilda Swinton, and having liked a lot of what Marvel has done, something that one doesn't see people saying a lot here.",/review/rw3792523/?ref_=tt_urv,Doctor_Strange_(2016
5,26 September 2021,DanLawson146,9," Upper Echelon of the MCU
",POSITIVES:,/review/rw3792523/?ref_=tt_urv,Doctor_Strange_(2016
6,2 September 2021,SPZMaxinema,8," Lots of magical and wondrous amazement!
","This movie's CGI is quite impressive and how well done the action scenes are, along with the origin of this character and the deeper messages provided regarding growth beyond limitations. Plus, an intimidating and cool villain who you can actually somewhat get! An impressive finally as well!",/review/rw3792523/?ref_=tt_urv,Doctor_Strange_(2016
7,21 August 2017,nogodnomasters,7," Time is the true enemy
","Dr. Stephen Strange (Benedict Cumberbatch) is an expert in movie trivia and part time renown brain surgeon. After an auto accident he loses a lot of use of his hands and travels to Kathmandu where the film turns into an acid trip as Strange enters into a world of word puns, oxymoron, and alternate universes. He is trained by the ancient one (Tilda Swinton) from Narnia...but is now good,...oh wait... yeah okay she is still good. She is training him to combat the dark lord, the Dom in fight a metaphysical battle.",/review/rw3792523/?ref_=tt_urv,Doctor_Strange_(2016
8,28 December 2020,wlbtraveler,8," Gets better and better every time
","Personally, I find that every time I watch ""Doctor Strange,"" I enjoy it slightly more than I did before. I suppose it comes down to my belief that ""Doctor Strange"" is far more rooted in reality than many other Marvel movies. Whereas many others have storylines that audiences and humanity in general cannot exactly relate to, ""Doctor Strange"" (simply put) follows a man who loses his way. After a bad car accident, Dr. Stephen Strange finds that he is unable to continue his work as a surgeon, and essentially spirals into despair. He eventually finds salvation in the mystic arts, finally understanding that the world does not revolve around him and becoming involved in a battle to save Earth. In terms of Marvel stories, that is fairly simplistic.",/review/rw3792523/?ref_=tt_urv,Doctor_Strange_(2016
9,9 September 2021,ubasarsahin,9," My review after second watch
",Revisited this beauty today.,/review/rw3792523/?ref_=tt_urv,Doctor_Strange_(2016
10,14 February 2017,maxnexus-97144,10," One of Marvel's best
",This movie is fantastic. I truly enjoyed watching it! ,/review/rw3792523/?ref_=tt_urv,Doctor_Strange_(2016
