,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,2 November 2020,auuwws,8," Guardians of Galaxy
","One of the funniest Marvel films is a comedy movie with distinction. A simple story. All the heroes of the film were excellent, especially Drax, Rocket, Groot, and Alcmestri among the heroes of the film was excellent. The music scene was great, especially Come And Get Your Love.",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
1,8 September 2020,waqassaleem-85201,8," One of the best mcu films
",It is a very fun and entertaining film. The story and screenplay is amazing. The direction by James Gunn is awesome. The CGI and visual effects of the film are outstanding. The film is one of the best MCU films humor wise. The performances of the cast are great. All the main characters are very likable. Definitely a must watch even if you aren't a superhero movie lover.,/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
2,1 March 2021,andreascaloni,9," FUNNY, FULL OF HEART AND VISUALLY DAZZLING
","Marvel Studios' Guardians of the Galaxy is a smart, funny, bright, weird and exciting movie.
It's a dazzling spectacle of gloriously bizarre entertainment. It boasts of a talented cast, an awesome soundtrack and great special effects.
Guardians feels at once both epic and intimate. James Gunn's Guardians of the Galaxy's one of Marvel's best films to date.
Rating: 9,2",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
3,15 November 2014,utgard14,8," Pelvic sorcery saves the galaxy
","Like a lot of other people, I wasn't sure what to expect from this movie. To say it exceeded my expectations would be an understatement. It's a clever and fresh gem in the stable of Marvel films. One of the best they've put out so far. The script is full of funny lines but it's also got lots of good character stuff with earned emotional moments. The action and effects are nice. The cast is great, including those just doing voices. Chris Pratt does a wonderful job blending the comic relief with the superhero. The soundtrack of old pop songs is terrific and integrated into the plot perfectly. The homages to Star Wars, Indiana Jones, and more are fun. Which is the simplest and best word to describe this movie: fun. You'll have a blast watching it.",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
4,2 January 2021,denise-882-139023,10," Perfect Film Entertainment
","This film is perfect entertainment. Sheer bliss from end to end.
Watch it, laugh out loud and enjoy.",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
5,8 August 2020,reddiemurf81,8," I AM GROOT
","The MCU is putting out a movie about these 5 misfits in space called the GOTG? Eh,, I'll go see it. I've liked everything else they've done.",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
6,14 June 2021,risbyceonna,9," Fun, Exciting and Soulfull
","First off I just wanted to say how amazing this movie is. Everything is perfect from the soundtrack, colors, characters, visuals, storyline and tone. This movie is funny but can be serious when it needs to be, the characters have actual personalities and they grow as well. The soundtrack fits and is absolutely perfect, the color scheme completely matches the tone of the movie and the storyline connects and makes sense. My only problem is probably the villain, he could come off as cliche but he wasn't that bad and was an alright villain. 9/10, definitely recommend, you don't even have to do like marvel to like this movie it's just so fun!",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
7,18 January 2021,r96sk,9," There is a lot to like
","When planning how I was going watch all these MCU films, this is one I earmarked as being one I thought I'd enjoy - not based on anything of note, I knew very little, but from the passing screenshots and such I had seen it seemed like one I'd enjoy. I'm happy to say I certainly did!",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
8,15 April 2021,Morejambo54,8," Resurrection of forgotten heroes!
","The biggest appeal of this movie, well there isn't one. There is multiple...the colours, the music, the action and the comedy all combine to create an epic and crazily fun superhero flick. The characters are really well written and all have great chemistry with on another. Along with the dialogue this allows the characters to be quite funny and have some really strong one-liners. The villain isn't terrible either but nothing special, he's pretty much just a strong guy that works for an even stronger guy. The plot is excellent, everything fits together well and moves at a good pace which means the film is very rewatchable. The action and special effects are obviously amazing, it is a high budget marvel movie after all, what do you expect? The soundtrack tho! So good, it pairs excellently with the humour and is brilliantly placed and timed with each scene. Even the actual movie theme(not the MUSIC music) is terrifically triumphant. Coming back to the characters, what makes them so special is that each one of them has a blatantly obvious flaw that means they all have competition with each other and gives so many options when it comes to humour and overall scenes and plot.",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
9,22 December 2020,rawonela,10," One of my fav movie
","I don't know how marvel did that but man this movie was something, TBH I wasn't sure if that movie will success because It sounded like silly for me when I heard about talking raccoon and tree, suddenly they became one of my favorite characters in the MCU , Sorry marvel I was wrong.",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
10,7 February 2021,Moviedude90,9," The Black Swan of the MCU
","It has character, plot, plot twist, grandiosity, and most of all, resolve. In addition, it's almost unfair how much nostalgia they poured into that soundtrack. I had fun with it",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
11,26 July 2014,Loving_Silence,10," A Stunning Surprise
","Guardians of the Galaxy is nothing short of an amazing movie. If there's anything I can say, it's that it is the best superhero movie I have seen. Not only does it have the impressive set pieces and enough action to last you a lifetime, it has an emotional core and you actually get to care about each and every single character. Overall this movie is filled with all the required thrills and spills and is a first class action movie. It also has a great mixture of comedic value and a deal of seriousness. ",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
12,30 July 2014,shawneofthedead,9," Bold, brave and beautifully weird.
","You might expect a movie studio at the top of its game to play it safe rather than strike out in new, bizarre directions. Certainly, it's hard to imagine any other studio giving the greenlight to Guardians Of The Galaxy - a huge blockbuster movie based on a title unfamiliar to anyone who isn't a comics aficionado, starring a relatively unknown actor playing a character most people have never heard of. And yet, Marvel scores once again with its willingness to head off the beaten track. GUARDIANS is a fun, fizzy delight, even as it mines some surprising depths of emotion from its ragtag group of anti-heroes.",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
13,23 August 2014,t-hf,8," the Rolling Stones of outer space
","So Guardians of the Galaxy is finally out and how is it?....it matches every expectation you had about it. Essentially, it is an absurdly fun, cheesy, old-fashioned space adventure with a superhero edge. For those of you who didn't know, the Guardians are pretty much the polar opposite of the Avengers - they're loud, brash, free-spirited, and most of all.....human....or as human as you can be being 4 aliens and 1 human. Unlike the Avengers, they don't play nice when it comes to saving the galaxy.",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
14,30 July 2014,BrentHankins,9," A sprawling space opera full of humor and action.
","I remember sitting in Hall H at Comic-Con two years ago, when Marvel first announced Guardians of the Galaxy. This came on the heels of the title reveals for Captain America: The Winter Soldier and Thor: The Dark World, and my initial reaction was one of utter confusion. What the hell was Guardians of the Galaxy? I was completely unfamiliar with the source material, and upon learning that the team featured a gun-wielding raccoon and a fighting tree creature whose could only speak a single phrase, I was even more puzzled.",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
15,16 August 2015,Floated2,7," Flaws but Decent on Action and Plot
","Guardians of the Galaxy starring Chris Pratt as Peter Quill proves to be the ideal leading man, carrying the bulk of the film and making the cocky, self-centered Quill likable enough to garner our sympathies and get us to root for his redemption without dulling the guy's edge. Saldana is the perfect foil for him, cutting Quill down to size before falling for him. It's Diesel and Cooper who steal the majority of the spotlight, however; Rocket and Groot are fascinating and wonderfully realized creations, and the two actors do a superb job of acting through the CGI ""makeup"" to make them stand out as flesh and blood people. Cooper's approach to the killer raccoon plumbs new levels of sarcasm. Bautista also surprises; Drax is written as an alien whose people take everything literally, setting up some choice gags that the former MMA fighter-turned- thespian delivers with perfect timing and the deadest of deadpan deliveries. In the end the film has been praised and the hype has matched the praise, however the film struggles mid way and becomes a decent action film. Perhaps a second and more viewing would be necessary.",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
16,8 November 2022,ItsRobinTV,10," Marvel Highlight of the century!!
",At first I didn't wanted to watch this movie because I thought it would be garbage but holy cow...this is one of my all time favorites....,/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
17,30 June 2015,SnoopyStyle,8," a galaxy full of fun
","On Earth 1988, Peter Quill loses his mother and is taken by a spaceship. Twenty Six years later, Peter (Chris Pratt) is caught trying to steal an orb but he manages to escape Korath. The Krees have signed a peace treaty with Nova Prime which is opposed by Ronan the Accuser (Lee Pace). Ronan needs the orb to satisfy Thanos who promises to destroy Xandar. Gamora (Zoe Saldana) goes to track down Peter and the orb. Also trying to capture Peter are Rocket and Groot. All four are imprisoned in the Kyln. They escape with the overly literal Drax who has a vendetta against Ronan.",/review/rw4486926/?ref_=tt_urv,Guardians_of_the_Galaxy_(2014
