,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,24 February 2020,MrHeraclius,," Awesome suits
","This movie contains some throughly enjoyable moments that are on par with some of Downey Jnr's highlights as Tony Stark. The relationship between Pepper and Tony is taken further and built upon brilliantly in this movie. It contains some really cool and innovative action scenes which are taken for granted now. However the poor villain, a pattern in Iron Man Solo Outings, and the lack of direction meant this is easily the poorest Iron Man Performance. It's still an entertaining watch but you wouldn't be wrong if you skipped this movie when rewatching MCU Classics.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
1,5 June 2010,dbborroughs,3," disappointing
",Disappointing and uneven follow up to the powerhouse of a few years ago.,/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
2,4 May 2010,xamtaro,8," Time for an Upgrade
","The sequel to Marvel studio's surprise hit of 2008 is here, bigger than ever. But is it better? After the surprise success of Iron Man, expectations for the sequel, from both movie viewers and long time comic books fans, were no doubt high.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
3,27 June 2011,ma-cortes,6," Acceptable sequel packed with frantic action ,thrills, moving scenes and dazzling production design
","A well-intentioned and interesting plot based on the characters created by Stan Lee and Jack Kirby , following the events developed in ¨Iron Man I ¨ and repeating the main actors . Because of his superhero alter ego, Tony Stark (Robert Downey Jr) must contend with deadly issues involving the government, his own friends and new enemies . With the world now learns of his dual life as Stark is submitted to the armored pressure from the government, the press, and the public to share his technology with the military , being only helped by SHIELD agency formed by colonel Nick Fury (Samuel L. Jackson) and Black Widow (Scarlett Johansson) . Unwilling to let go of his invention, Stark, along with Pepper Potts (Gwyneth Paltrow), and James ""Rhodey"" Rhodes (Don Cheadle) at his side , must forge new alliances and battle evil enemies as Vanko (Mickey Rourke) and Justin Hammer ( Sam Rockwell). Heroes aren't born !. They're built !. Get ready for a different breed of heavy metal hero !. Prepare for heavy metal! Even heroes fall !. Unleash the power behind the armor !. It's not the armor that makes the hero, but the man inside !",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
4,29 April 2010,DICK STEEL,10," A Nutshell Review: Iron Man 2
","Downey Jr continues his smirky role as the playboy and laissez-faire persona of Tony Stark (no Downey Jr, no Tony Stark I'd say!), now facing a life-threatening intoxication situation, and constantly having to deflect the US military's interest in and compelling him to turn over the Iron Man suit. Then of course there's the romantic angle with Gwyneth Paltrow's Pepper Potts who gets expanded screen time here, to whom he hands over Stark Industries to by appointing her CEO. I had enjoyed all the scenes between Paltrow and Downey Jr as they shared great chemistry, and didn't mind that the film took the pause from the action to throw the spotlight on this. In fact, Stark is pretty much the Santa Claus in giving away things, having to face his mortality and to put some business continuity plans into motion. A little too bad that the scene in the teaser trailer highlighting the banter in the plane didn't make it to the final cut.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
5,21 November 2019,masonsaul,7," Really good sequel
","It isn't as good as the original but Iron Man 2 is still a really good sequel. Robert Downey Jr. once again gives an incredible performance and is extremely charismatic. Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Samuel L. Jackson and Sam Rockwell all give great performances. Jon Favreau's direction is really good and it's consistently funny. The CG is impressive and the music by John Denney is good. However, Mickey Rourke is wasted as a forgettable villain and the final battle is a little short.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
6,30 May 2019,Cirene404,6," Iron Man 2 (Short Movie Review)
","Positives:
",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
7,9 May 2010,blanbrn,8," Pretty good sequel that's entertaining, explosive and sexy.
","""Iron Man"" is not my favorite superhero(that place goes to Batman)nor does he rank ahead of Wonder Women still Tony Stark is an interesting cocky sucker of enough character to watch. As ""Iron Man 2"" for a sequel really delivered. As director Jon Favreau once again kept the action rolling with special effects and kick ass action sequences. Once again Robert Downey Jr. is back as Tony Stark former weapons mogul turned special agent Iron Man. This time his challenge is a Russian villain named Ivan(Mickey Rourke fresh off his classic performance in ""The Wrestler"") who wants to destroy the world with his new chemical and high tech weapons. And Sam Rockwell struts as a money hungry arms dealer.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
8,11 June 2010,khanbaliq2,8," An exhilarating and funny superhero sequel.
","Iron Man 2 is a fine sequel. Almost the whole cast returns intact, and director Jon Favreau has more screen time in his role as Happy Hogan. Tony Stark (Robert Downey Jr.) is riding high after the events of Iron Man (2008). He has become famous worldwide, and he re-institutes the Stark Expo. But problems begin to pile up. Another wealthy industrialist wants his Iron Man technology. Then a new villain appears. Stark's relationship with his assistant Virginia Potts (Gwyneth Paltrow) is also expanded upon. There's a lot going on in the film, but its rather weak script hurts it for sure. Mickey Rourke as the villain Ivan Vanko stands out. He's more menacing than Obadiah Stane was in the first film. Vanko's first encounter with Stark leads to a thrilling fight scene. Unfortunately Rourke's character isn't fully developed. This is a problem with other characters in the film as well. Vanko is a memorable villain but if Rourke was given more screen time and his character had more of a backstory I'm sure he could have been even more memorable. Still, Rourke tried to make his character as complex as he could.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
9,9 October 2010,ccthemovieman-1,8," Pleasantly Surprised
","I was pleasantly surprised with this, thinking that it's probably another sequel that doesn't match up to the original. I was wrong; I thought this was better, a more likable and entertaining film than the first! Of course, it helps to know in advance that the ""hero"" (""Ton Stark,"" played by Robert Downey) is even more obnoxious in this film. Knowing that, I didn't let that bother me and just enjoyed the good acting in here and the excellent special-effects. ",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
10,20 November 2016,Seth_Rogue_One,3," Marvel fanboys strikes again
","Yet another ridiculously high rated Marvel movie, we get it Marvel fanboys you just love it when a new Marvel movie comes out, so much that you forget any flaws in it and give it a 10 or a 9 anyways.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
11,18 May 2010,tedg,," Dimension
","Common sense hits the front office at Marvel's adventure in movie-making. Until now, they've just made bad films. Bad.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
12,28 April 2010,Dash1969,," Fun but also Smart! It has the right amount of humor, angst and drama
","Iron Man 2 sure delivers the fun but it's such intelligent fun. Honestly, its Stan Lee meets Shakespeare. The Hammer/Stark rivalry is more like Hamlet and Claudius then Superman to Lex Luthor. Iron Man is simply more complex as a character then anything else you'll see in a summer film but it loses none of the spark or none of the pure popcorn fun. How many other films can you say that about? Stark's vulnerability is very much on display here as his personal life crumbles through various unique conflicts. He has to struggle with the government for control of his armor and deal with his growing celebrity. At the same time his personal life takes a turn as a love triangle emerges. He (like soon all of America) becomes attracted to his new aide (the lovely Scarlett Johansson), causing tension with his former assistant but now new Stark Industries CEO Pepper Potts (the also lovely Gwyneth Paltrow). They manage to pull all this off remarkably well and still leave character time for Rhodey and the villains. It's a believable sci-fi story featuring an intellect story that's wild but has the right amount of humor, angst and drama. Like I remember about Iron Man 1, I can't think of a weak moment in the film. The visual effects are incredible. They did the memory of their boss, the great Stan Winston, proud. They set the bar high again. Now the only question is whether they have anything left in the tank for Iron Man 3? I'm betting that they do.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
13,10 May 2010,BwSwim,8," Iron Man 2 is Totally Worth it.
",For some reason this movie had not been getting the greatest critic reviews. I do not understand that at all. I thought the movie was very enjoyable and a successful sequel in the series.,/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
14,27 April 2010,MovieMystro,," EVERYTHING you would want in a movie and much more!
","The makers of this film held nothing back. When it works, as it does here, it rekindles even a cynic's movie love. So kudos to Downey, Paltrow, Cheadle, Scar-Jo, Rockwell, Rourke and especially Favreau. What a film! It is a sight to behold. Every scene was captivating, whether it was full on armor action or the charismatic ""down time"" delivered by the best cast possible. Isn't that what movies are suppose to be about? It's good to see the response to the movie has been, for the most part, positive. I've noticed that sometimes expectations are unreasonable or some fans are too attached to their comic book preconceived notions. (X-Men and Wolverine fans I'm looking right at you!) Iron Man 2 stayed close enough to its roots and I hope most judge it as a film first. If you do, I'm almost certain that everyone will enjoy it as much as I did. ",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
15,28 April 2010,EddyOne,6," It's solid entertainment, but lacks the class of it's predecessor
",Saw the movie in a press screening here are my humble thoughts:,/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
16,30 April 2010,Gordon-11,," Very entertaining, much better than I thought it would be!
",This film is about Tony Stark's fight against the US government and a man who wants revenge for what the Stark family did to his father forty years ago.,/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
17,29 April 2010,Velociraptor256,7," Great beginning and end, not so great in the middle
","At its high points - the first act and the climax - Iron Man 2 is actually better than the first film. Everything up to and including the action scene in Monaco is just great fun to watch: the action, the character interactions, and of course Robert Downey Jr's wonderful portrayal of Tony Stark. And the action scene at the end is pretty epic.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
18,4 May 2010,Angelus2,8," ""I am Iron Man. The suit and I are one.""
","As a comic book fan, it is hard for me to admit if a certain movie has not met the huge expectations that a comic book fan may hold...Batman Begins, Dark Knight held there own, the X-Men movies not so much, Fantastic Four movies were satisfactory....Daredevil was a travesty...Iron-Man was brilliant.....This sequel, is a 50/50 for me... The beginning was brilliant, the middle was slow and random...and the end was satisfactory.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
19,28 April 2010,Romarth,," Another magnificent superhero sequel.
","Reading Iron Man 2's plot summary, things sound bleak for our characters. But not at all. This is a breezy, light-hearted, inoffensive affair that saunters at a magnetic pace, with emotional discomfiting a far thought. Which is pretty refreshing, to say the least. In fact, Iron Man 2 is the complete of antithesis of recent comic book movies. For one, it certainly isn't darker than its predecessor, absent its slow-burning first half and latched-on social commentary. It also gives itself the poetic license to stretch credulity. This is a movie about a man who flies around in metal suit, blasting away multicolored-haired Russians with electric whips. Realism simply doesn't apply, and thankfully director Jon Favreau and writer Justin Theroux take affectionate liberty with the bonds of belief. Yes, Ivan Vanko can secretly build super technology unbeknownst to his suppliers. And yes, the only way to incapacitate a drunken Tony is to beat the crap out of him in a Iron Man suit. No complaints here! ",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
20,14 September 2010,Hellmant,10," It just has an energy to it that can't quite be described in words!
",'IRON MAN 2': Five Stars (Out of Five) ,/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
21,9 May 2010,DKosty123,8," Wow Iron 2
","In my view, this movie is better than the first installment. There are several reasons for me so naturally I want to list them. I was surprised that all the outrageous trailers for the film turned out to be in the film. Yet they made too much sense & didn't seem quite as outrageous.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
22,27 April 2010,DUKEJBM,," Oscar Caliber On Every Level (Story, FX & Especially Acting)
","Everyone will rave about the action but Iron Man 2 delivers a beguiling character study behind and above the special effects. You do not leave your I.Q. at the door with this summer movie as you too often need to do. The award winning cast doesn't back down and delivers up to their talent. They're rising to the material, and even elevating it to levels rarely seen in a comic adaptation film. Robert Downey Jr delivers another remarkable performance. Giving one of our generation's greatest actors such a cool character to bring to life happens once in a lifetime. Watching him draw on ALL emotions is as good as it gets. Not to give any spoilers but there's a dark side to Tony Stark because of his impending death and that aspect of the film makes Downey shine. Add the flair and superhero text and we may be talking Oscar. Mickey Rourke, Sam Rockwell, Gwyneth Paltrow and Don Cheadle also bring their top stuff.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
23,26 April 2010,IronBallsM,," Masterfully Executed Sequel! Action AND Heart... A Perfect Mix
","Yes, I'm one of the fortunate few who got to see this gem a bit early and I'm happy to report that they took what worked so well in Iron Man and ran with it in an extremely gratifying way. The complexity, depth, heart and action are even more off the charts than the first film. It's is not just a great comic book movie but a great movie period. They took the complexities of Tony Stark that they established in movie one and built upon it masterfully. Now we get a reformed and guilt ridden weapons manufacturer weaved with a celebrity who should have never let the cat out of the bag in the final moments of Iron Man 1. They promised to up the action from the first film and they certainly did but the storytelling never suffers for it. Like in 2008, the evolution and growth of the characters is of paramount importance. It has the same flavor and humor of the original and it may even focus more on the fabulous relationships already developed. I was stunned at how they managed to deliver a better film. I didn't think that was possible. Everyone came to play and this great cast brought their best stuff and it shows on screen. Everyone knew Downey, Paltrow and Cheadle could act but Bill O'Reilly and The CNN anchor? Yes, they show up and do a GREAT job in extended cameos. Rourke and Rockwell are PERFECT as the duel foils for Tony Stark, I mean PERFECT. From the Grand Prix in Monaco to the amazing finale, buckle up because this is one intense, interesting, intelligent and fun ride. My only real complaint is that Scarlett's Black Widow has too little screen time. Still, a film that leaves you clamoring for more isn't the worst sin in the world.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
24,30 April 2010,drakula2005,7," And that's coming from a neutral viewer:Iron Man's astonishing return!
","At first, when a heard about a second installment, i thought, i was unsure in it, because Jon Favreau is relatively new on the director's chair, so could he pull of another classic superhero movie?The answer is simple-YES! I saw it in its opening day and the theatre was full.I went along with a few friends, and all of them loved it!Here are some things, we all agreed we liked.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
25,30 September 2010,g-bodyl,10," Possibly Better than Original!
",I went in the theaters with an open mind ready to expect the best and that is what I got. Iron Man 2 is just as good maybe even better than the first one. Robert Downey Jr is superb as Tony Stark once again. I also loved the performance by Mickey Rourke as Whiplash. I didn't expect much out of him. And of course we all know why Scarlett Johansson is here.,/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
26,3 May 2010,evan_harvey,5," Messy storyline, no real plot, no theme
","Just saw Iron Man 2, and while I thought the first one was a bit overrated, I had hopes. They quickly dissipated.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
27,13 May 2010,Aaron1375,9," I thought the sequel to Iron Man was a blast
","This film did almost the same amount of business as the first film, but a lot of people consider it an inferior film. I am not one of those people, I actually think it is just as good as the first film. The first film had a bit more polish, but this one had more bang for your buck as the last action sequence in this film has more action than all of the cation scenes in the first film put together. They did recast Rhodes in this film substituting Don Cheadle for Terrance Howard, but quite frankly I thought it was an improvement. Cheadle just has a better presence than Howard and though they recast the role because Howard wanted more money, I think it worked in favor of the studio because Cheadle is a better actor. All the other primary players are accounted for as Robert Downey Jr. is back as Tony Stark/Iron Man and Gwyneth Paltrow is back as Pepper Potts. The two do great as a very eccentric pair and I thought Mickey Rourke as the villain was an improvement over Bridges in the first film. I just am not seeing what others saw that make them say that this film is a worse film than the first one.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
28,7 July 2010,planktonrules,5," I was ready to love this film...
","About three days before I went to see ""Iron Man 2"", I watched the original ""Iron Man"" for the second time. This time, my 20 year-old watched it with me. She'd never seen it before and loved it--thanking me for recommending it to her. And, considering that I not only saw the film twice (that's very rare for me) and gave it a 9 in my review, I obviously was stoked to see the sequel. Too bad I was so underwhelmed by it.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
29,30 April 2010,sarastro7,10," DAAYUM!!! Much better than the first!
","I liked the first Iron Man movie quite a bit, but there was a good deal of things in it that I was critical of. I felt that several bits didn't work very well, and the level of excitement just wasn't that great.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
30,26 September 2010,claudio_carvalho,5," A Festival of Special Effects, Explosions and Shattered Glasses
","Tony Stark (Robert Downey Jr.) discloses to the world that he is the Iron Man and the senate presses him to deliver his technology to military purpose but Tony refuses telling that he has brought peace to the world. Meanwhile, the evil Ivan Vanko (Mickey Rourke) surprises the world attacking the Iron Man in Monaco with his armored suit. Ivan is arrested but Justin Hammer (Sam Rockwell) releases him simulating his death. Meanwhile Tony is depressed expecting to die sooner and Lieutenant Colonel James 'Rhodey' Rhodes (Don Cheadle) steals an armored suit from Tony and brings it to the army. The high command delivers the technology to Justin Industry to weapon the armor and Ivan builds an army of remote controlled suit of armors. ",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
31,5 May 2010,badajoz-1,1," After Avatar the Boreathon comes the utterly boring IronMan2!
","Just when I thought it was safe to go back into the cinema, after the dreadfully boring disappointment of 'Avatar,' I go to see something even worse - 'Iron Man 2.' How can Hollywood spend trillions on such product? It is absolutely uninteresting, except for whether Gwyneth Paltrow is wearing her killer heels in some shots but not in others, with little action, appalling script, lax direction, and mindless high tech imagery. We spend over the first hour while Robert Downey jnr calls on all his past personal indiscretions to try and portray a super hero who is falling apart because he is dying - cue, inaudible supposedly smart ass dialogue with characters talking over each other, which is absolutely a killer and not worthy of all that Hollywood has done in the past hundred years!!!!!!!!!!!!! This film stinks, the action is useless, so-called invincible super killer drones (actually robocop lookalikes) are mown down in two seconds flat (Get bored did you, JON?), the characters not worth bothering with, repetitious to the Nth degree, and the villain (Mickey Rourke picking up his pension money)keels over inside a minute! Miss it if you can - luckily I only paid £3 or $4.50 so I got away with it. The day before Polling Day in UK and there were some nerds from Uni calling it awesome - I don't recognise my country anymore. No wonder Tony Blair got away with it for so long!",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
32,1 May 2010,andro-dolic,7," Excellent again
","I am big lover of superhero movies and I really enjoy in them and it looks like I found myself in them . I like when I see Batman,Spiderman or maybe Iron Man . I was very surprised when last year I read article in newspapers that in 2010 is coming Iron Man 2 . This is one of the most expected movie in this year . I am surprised with more one fact . Why is movie coming a week earlier in Europe than in USA . I decided that I will watch this movie because I expected it so long . Then I saw trailer in cinema and I knew that it will be something spectacular . I was so excited and I didn't want to miss it .",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
33,16 May 2010,DJAkin,1," Time to hang up your suit - IRON MAN
","This movie was everything that Iron Man 1 was not. Yes, it was terrible, predictable and irritating. I was so mad how they essentially didn't even show any super hero stuff for 90% of the movie. The children in the theater kept asking their mother's: ""Mommy, where is Iron Man? I thought this was Iron Man mommy?"". The mothers had to calm their children. It was so sad. What was even more irritating was how conceited Tony Stark was. I was kind of amused by how the senator kept harassing him. For 55% of the movie - Tony Stark was pompous and an ass. He was not even remotely amusing. Then of course there is the villain who was played by an obviously uninspired Mickey Roark hoping to cash in on the success of his hit The Wrestler. He basically had a horrible Russian accent and had LIGHT SABER BULL WHIPS as a weapon. This movie was terrible. I want to sue the makers of this movie for the two hours I wasted by watching it. How am I able to get this time back? It was painful to watch this.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
34,30 April 2010,pinkliz41,10," The first one steps all over this one
","The hype for Iron Man 2 to be great was pretty big, by me anyway. But i was let down considerably. Sequels are usually the ones that are much harder to get right and pull of, and Iron Man 2 nearly falls flat. The last thirty minutes are diabolically bad compared to the rest of the film, which, whilst it lasted, was pretty damn good. Things that could have certainly been improved upon were; Mickey Rourke as Whiplash, who i didn't think had enough screen time, and could have been fleshed out slightly better. The introduction of War Machine fighting alongside his ally Iron Man, was completely inappropriate as it made the climactic fight sequence corny and stupid. His fight with Iron Man at Starks home was also un called for, as if the director was adding the sequence just for the sake for a longer running time. Also, Starks witty personality died out pretty quickly, so we are left annoyed and pleading him to stop by the credits.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
35,2 May 2010,warthogjump,7," Had a lot of potential
","Iron Man 2 is a great flick, not doubt about it. But, unfortunately, it fails to live up to hype and expectations of the first Iron Man.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
36,20 May 2010,Egg_MacGuffin,1," Rusting already.
",.SPOILERS WITHIN. ----------------- ,/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
37,8 May 2010,Jackpollins,10," Currently waiting for Iron Man 3.....
","After the surprisingly fantastic Iron Man, old and new faces join forces for Iron Man 2, an equally fantastic sequel. After long months of waiting for this film, it exceeded my expectations and made me want the Iron Man series to be never ending. There's something about Robert Downey Jr's sarcastic tone and out there charisma that suits this character (no pun intended). Mickey Rourke & Sam Rockwell are now villains Ivan & Justin, two competitors of Tony Stark (Downey, JR). Don Cheadle plays James Rhodes, AKA Warhead, Scarlett Johansson plays Natalie, Samuel L. Jackson plays Nick Fury, Jon Favreau plays Happy, Paul Bettany plays Jarvis, Leslie Bibb plays Christine, and Garry Shandling plays Senator Stern. Guess what? They're all excellent. Shandling, especially, who has some of the funniest lines I have seen thus far this year. Rockwell has one of the funniest opening scenes in the film. There's so much to like about Iron Man 2, that, although not flawless, you forget its flaws, and just enjoy the spectacular ride you are to have. I can't decide what I want first, for Iron Man 3 to come out or for this to be in my DVD collection. Either way, see this film right away.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
38,26 May 2015,taylorkingston,8," A great follow-up...
","I think I like this movie as much as the first one, it's not better, it's not worse. It's a pretty entertaining movie and I really enjoy it.",/review/rw2246433/?ref_=tt_urv,Iron_Man_2_(2010
