,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,28 November 2021,topdog-64841,8," Surprisingly good
","I'll be honest - Marvel movies are not in my top 20 or even 50 but within the Marvel ""Universe"" I would say that Shang-Chi is in my top 5. I know, it's blasphemy and all that but think about it - is it better than Iron Man? I would admit yes - it's origin story is arguably better, and it's characters are a lot deeper. The Mandarin is a conflicted man, with evil but good as well, like real life. Is this movie better than The Avengers or Ragnarok or Infinity Wars? Hard to say, which means it's right up there with the best (of Marvel) in my opinion.",/review/rw7800707/?ref_=tt_urv,ShangChi_and_the_Legend_of_the_Ten_Rings_2021
1,26 November 2021,m-ramanan,8," Worth a watch with family
","RATED 8/10
Language: English
Source: Hotstar
RECOMMENDED",/review/rw7800707/?ref_=tt_urv,ShangChi_and_the_Legend_of_the_Ten_Rings_2021
2,16 September 2021,daisukereds,5," Sort of disappointed..
","I got to admit I wasn't particularly blown away by anything in the movie.. I might even say ""I was bored"" by it.",/review/rw7800707/?ref_=tt_urv,ShangChi_and_the_Legend_of_the_Ten_Rings_2021
3,1 December 2021,planktonrules,7," A visual feast.
","I am not a big fan of the many, many Marvel films. The only reason I saw this one was that my oldest daughter insisted I watch it....and overall I was impressed by the movie, though I think it was enjoyable more for the insane eye candy than the story itself.",/review/rw7800707/?ref_=tt_urv,ShangChi_and_the_Legend_of_the_Ten_Rings_2021
4,26 November 2021,MackMonMay87,8," A Ringer for a Great MCU Flick
","Shang-Chi is one of Marvel Comic's most unknown and underutilized characters in their comics, with his original comics containing a decent amount of racist imagery and embarrassing caricatures of various Asian stereotypes. At it's best, the MCU can turn any obscure group or concept from the comics into gold, and Shang-Chi is no different.",/review/rw7800707/?ref_=tt_urv,ShangChi_and_the_Legend_of_the_Ten_Rings_2021
5,14 September 2021,educallejero,5," Questionable script (and Awkwafina is just the worst)
","The characters are a bit incoherent and straight up contradict their own characterizations at times, because the plot needs them to do it. There are a bunch of unneeded ""deux-ex machina"" or conveniences because the writers trapped themselves into corners for no reason (that's what happens when you get the 2021 ""Mortal Kombat"", ""WW84"" and ""The Expendables"" writers).",/review/rw7800707/?ref_=tt_urv,ShangChi_and_the_Legend_of_the_Ten_Rings_2021
6,17 November 2021,justwen89,8," beautiful science fiction, fantasy and action movie!
","Everything comes in it beautiful science fiction and beautiful mythical creatures. Sometimes you have creatures that don't seem real, but these just seemed real. Well done! There was a bit of avatar feeling in it. Fighting for the safekeeping of peace. Really beautiful. And self-acceptance was also nicely incorporated.",/review/rw7800707/?ref_=tt_urv,ShangChi_and_the_Legend_of_the_Ten_Rings_2021
7,11 November 2021,Top_Dawg_Critic,7," This could've been great if it wasn't for the cheesy writing.
","The story was riddled with holes and plot issues. Since when does Awkwafina's pedestrian character all of a sudden get invited to become part of the MCU team? What's her super power... stupidity? Don't get me wrong, I love her, but her character was lazily written. Then there's the whole daddy issues dynamic - Shang is with him, then against, then with etc.. Then we have these ridiculous dragons fighting, where one scores some power crystals and becomes stronger! This is just infantile lazy writing. There was zero shock value or anything spectacular in the entire runtime, with tedious long middle acts and a bumbling third act. The jokes were cliched and not funny. The funniest parts were Ben Kingsley's character, (of whom was in this for what reasons??) and the ending to go Karaoke - which was the only time I actually cracked a chuckle. You'd think with three writers we'd have something cohesive and coherent. But instead of a Marvel superhero story, we got a Disney evil vs good with dragons thrown into the mix. It's as if they tried too hard to create the Asian version of Black Panther.",/review/rw7800707/?ref_=tt_urv,ShangChi_and_the_Legend_of_the_Ten_Rings_2021
8,5 December 2021,catalinmarian-13885,8," So good!!
","The best marvel movie after Endgame. The story is a bit cliché but the rest is absolutely amazing. The fight scenes are the best in the MCU in my opinion. Simu Liu as Shang-Chi is perfectly chosen and all the other characters are nice and the all the actors do a good job. Act 3 is on another level that we haven't seen before in MCU and the visual effects are spectacular, by far one of the best origin stories from Marvel!",/review/rw7800707/?ref_=tt_urv,ShangChi_and_the_Legend_of_the_Ten_Rings_2021
9,2 March 2022,SnoopyStyle,8," MCU and funny
","Shaun (Simu Liu) and Katy (Awkwafina) are slackers in San Francisco. Well, they're Chinese slackers which means that they still have jobs. They're just dead-end jobs. Unbeknownst to Katy, Shaun's real name is Shang-Chi and he was trained from childhood to fight by his father Xu Wenwu (Tony Chiu-Wai Leung) who has been conquering for a thousand years with the Ten Rings until he met the love of his life, Shang-Chi's mother.",/review/rw7800707/?ref_=tt_urv,ShangChi_and_the_Legend_of_the_Ten_Rings_2021
