,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,3 July 2019,cardsrock,8," Spidey's delightful new adventure
",It's hard not to enjoy this quirky teen romance disguised as a Marvel movie. This Spider-Man sequel is hilarious and charming. It swings along through a great story and takes time to enjoy itself along the way. There are some terrifically trippy sequences that showcase the coolness of Mysterio. Gyllenhaal brings his typical great performance and is one of the better Marvel villains. Far From Home is loads of fun and a great segue into the next era of the MCU.,/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
1,12 April 2020,Leofwine_draca,5," A step backwards
","And so my long Marvel-watching journey comes to an end; I've finally caught up with the endless franchise, after what seems like eons playing catch-up with the rest of the world's population. Sadly, this SPIDER-MAN sequel is a real step down from the highs of AVENGERS: ENDGAME, and a feeling like they've gone backwards given how they learnt what worked so well previously. Personally, I've found both of Holland's outings as the web-slinging hero to be middling at best.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
2,14 July 2019,bankofmarquis,8," A nice ""palate cleanser"" after Endgame
","After the richness - both in emotion and spectacle - of the previous entry in the Marvel Cinematic Universe (that would be the epic that is AVENGERS: ENDGAME), SPIDERMAN: FAR FROM HOME is a palate cleanser.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
3,23 September 2019,claudio_carvalho,6," Teenage Spider-Man in Europe
","""Spider-Man: Far from Home"" is a typical film for youngsters or fans of Marvel, CGI and explosions. The storyline is silly, the screenplay is not as funny as the writer intended to be and the hero is annoying. Anyway entertains if the viewer has lower expectation and does not have a better option. The cliffhanger in the credits is one of the best scenes. My vote is six.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
4,7 September 2019,ivans536,8," Teen Movie with a Twist
","The movie is a breath of fresh air, a fun romp through Europe with your favourite friendly neighborhood spider-man. Well written and acted, this movie again threads the line between a typical Marvel movie and a Highschool teen comedy, this time feeling especially fresh after the high stakes epic that Endgame was.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
5,6 July 2019,WeAreLive,10," Far better from Homecoming
","==Warning if you have not watched Endgame yet please watch that right now, because there is a big spoiler I will include which may ruin your experience or if you are planning to read my review and have not watched please do that right==",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
6,6 November 2019,MissSimonetta,4," Boring and overblown housecleaning in the wake of Endgame
","The final battle between Spiderman and Mysterio, where Spidey falls into the middle of a cloud of light-show, weapons-toting drones and doesn't even get a scratch worth crying over, is pretty much a microcosm of this entire movie. After ENDGAME, it feels more like housecleaning and treading water than a Spiderman adventure. There are no stakes to speak of-- Spidey seems indestructible at this point and I never felt any of his comic relief buddies were seriously in danger. Even his relationship with MJ seems fireproof, with Peter barely having to break a sweat to handle that.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
7,13 September 2019,Marwan-Bob,8," Better than the first One
","I really Enjoyed this, highly Entertaining sequel and a satisfying continuation of the Marvel Cinematic Universe.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
8,3 July 2019,Genti25,8," A lot of fun
","Far from Home is a great sequel with a lot of very good action sequences, and very well developed characters that just make this entire movie very fun to watch.
Tom Holland is the best Spider-Man/Peter Parker ever, he is so charismatic and funny, plus he is great in the action scenes as well. Him and Zendaya have great chemistry, and thankfully they developed her character, MJ, a lot more this time around. Also in my opinion, Jake Gyllenhaal as Mysterio works for what the film was going for, and Jake is just great in everything he does so there's no surprise there.
I still love Homecoming more than Far from Home, but this is still a very good movie overall and I enjoyed it a lot.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
9,2 July 2019,masonsaul,10," Incredible sequel
","Spider-Man: Far from Home is an incredible sequel, dealing with the aftermath of Avengers: Endgame whilst still being it's own film. A fun, unpredictable and refreshingly meta MCU film that's better than its predecessor.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
10,3 July 2019,keone-game2,8," On apocalyptic school trip with Spider-Man
","After the final piece in the Marvel movie ""Avengers: Endgame"" Spider-Man is somewhat lost. The teenager just wants to go on a European school trip to win the heart of a classmate. But then of course another monster pops up
A great film full of action, jokes and mystery.
Tom Holland proves himself in this film and shows what he can do by putting down this masterpiece.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
11,15 February 2020,leonblackwood,4," Fed up with watching an immature Spider-Man. 4/10
","Review:
Will they ever get this franchise right? I really wasn't a fan of this film because the whole ""teenager on a school trip"" concept was ridiculous, and the script was awful. They tried there utmost to make it funny, but it just didn't work, and Tom Holland's constant whining about how much he wanted to be with his school friends, and trying to get the girl, became tedious after a while. I can't believe that Spider-man went through the whole of Infinity War and Endgame, saving the world with the Avengers, and ended up dodging Nick Fury's calls because he wanted to be with his friends. On top of that, the humongous creatures that were attacking Europe weren't enough for the school to cancel the trip, which was totally unrealistic. The major twist in the film was also written badly, which was a shame because I actually liked Mysterio (Jake Gyllenhaal) before he turned dark. On the plus side, I did like seeing the aftermath of Tony Stark death, and how the so-called ""blip"" affected the world, but with all that in mind, Spider-man still was acting like an immature teenager, even though he was heavily involved in the battle against Thanos. The whole drone concept was also completely ridiculous, and the fact that no one realised that it was all an illusion, blew my mind. Although I found the film disappointing, Tom Holland is a good Spider-man, in terms of his movements and action scenes, but I think it's about time that he took his role as a super-hero seriously. I don't know how close the character is to the comics, so I can't totally blame the director for his vision but I'm really getting fed up with his boyish behaviour, especially after Tony Stark took him under his wing. The action scenes made the film watchable, even though they were extremely far-fetched, and the ending left the franchise open for many possibilities, but I still expected more after Endgame. Disappointing!",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
12,4 July 2019,jsucie,8," Non-spoiler short review
","So I watched Homecoming last night and watched Far From Home this afternoon. Overall this was a entertaining movie than Homecoming but with a far weaker plot. The more engaging bits is the interaction between the characters.
Jake G. did an decent job as Mysterio but overall the character was written without much character strengths.
CGI was fantastic as always with Marvel Movies. This will make money, this will entertain. It isn't one of the better ones though.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
13,2 August 2019,tm-sheehan,8," Good escapist fun, with humour
","My Review- Spider-Man Far From Home
My Rating 8:10",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
14,11 August 2019,austin0731,7," The ending chapter of MCU phase 3
","The closing chapter to the MCU's phase 3, Spider-man far from home brilliantly ends the arc of Tony Stark and the initial trilogy of MCU phases. It was a blend of paying respects to the past but building and looking into the future of the MCU, all packed into a charming Spider-man movie filled with fun and excitement.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
15,26 November 2021,OllieSuave-007,2," Holland Spider-Man: Stay faraway as possible.
","I didn't have high hopes for this movie, as much of the Marvel superhero films suffer from lame comedy and overly used CGI effects, and the previous Spider-Man movie was sub-par at best. In this one, after the events of Avengers: Endgame, Peter Parker and his friends go on a European trip, but their fun is disrupted from attacks from a new menace called Elementals.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
16,16 July 2019,valmont1702,8," Becoming a greater superhero : A poignant journey.
","I really like the villain's motivations, his psychology and the way his ""powers"" appear (and are used) ; very interesting. Also, the conflicted trajectory of Peter Parker as a teenager and as a superhero, with all the inherent dilemmas & choices... These are strong themes, and it nicely shows the complexity of evolving into a greater superhero. With the questions that required to be asked when you constantly have to be the one who must step up.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
17,4 July 2019,UniqueParticle,9," Exhilarating experience - So glad I saw it in IMAX
","Loved this so much! Easily the best Spider-Man ever, best of everything! Lots of comedy, awesome action, and some of the best effects/camera shots I've ever seen! ""I'm just your friendly neighborhood film buff"" here to tell you this movie is pure fun the entire way through! Tom Holland is among the best Spider-Man's we'll have and Jake Gyllenhaal owww boy your in for a treat. A lot of great stuff happens that I'd rather leave as surprise, easily one of the best Marvel movies ever made!",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
18,9 July 2019,evansjoshyr,10," The perfect follow up from endgame
","Far from home was under a lot of pressure from Endgame and homecoming in order to live up to the expectations set by both movies. It had to confront the problems and heartbreak from the last Mcu film while retaining the humour and action from the previous Spider-Man film. Not only does it do this far more successfully than I could have imagined, yet it adds so much more to the film. From unexpected plot twits to silly romance. This film is a must see to any fan of the Mcu. Make sure you stay till the very very end. You will regret it if you leave early. Post credit scenes will blow your mind in a short space of time",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
19,19 July 2019,pensacolacomputer,8," Excellent movie
","Spider-Man 2 in 2004 is still my favorite Marvel movie of all time. Spider-Man far from home is a close second. This movie had everything...action, adventure, comedy, mystery, suspense, and more....I was VERY surprised, as I was not expecting much from it but left the theater very satisfied....Very well done...Go see it!",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
20,22 July 2019,pokemon_trainer_lucas,9," Bloody brilliant!
","I saw this at the cinema a few days ago and it was fantastic! I'll be honest, I was expecting to be a little bit underwhelmed, but I genuinely enjoyed this film. It was fast-paced yet carefully considered, funny and yet sincere enough for me to take it seriously. Any spiderman or MARVEL fan will love this film.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
21,11 July 2019,matthewssilverhammer,8," A Saturday Morning Cartoon On the Big Screen
","Far From Home feels like a throwback, though not really to anything in superhero film history. Superhero movies have almost always carried a heavy weight of nostalgia, fandom import, and franchise insurance on to their silver screen escapades. And even though the latest web-slinging adventure directly follows one of the most ambitious cinematic projects in history (Avengers: Endgame), it somehow finds a way to shed all that in favor of pure, escapist, one-off fun. With lighthearted soul, a travelogue setting, an endlessly relatable hero and a compassionate but cartoonish villain, Far From Home is a Marvel movie made for the Saturday-morning-cartoon crowd.
After the world-altering events of ""the snap"", Peter Parker is trying to get back to some semblance of normalcy, when a high school Eurotrip gets interrupted by multiverse superhero Mysterio and some big elemental bad guys. All the everyday superhero facets are here (funny quips, questions of self-worth, great action sequences), but with the added element of an angsty teenage comedy. How does he tell MJ he likes her? Can he and his bff stay friends while having girlfriends? What kind of fun can they get into in Europe? This seems low stakes, and I suppose it is in comparison to much of the MCU, but that's what makes the story work: we know these characters on a personal level, and we like them for it.
Honestly, after the Infinity Saga ended, with all its drama, death and destruction, Far From Home's down-to-earth, low-stakes, neighborhood feel is exactly the comedown we needed. With no overarching plotlines, no big universal threat, and few crossover implications, this manages to be a perfect summer escape.",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
22,10 July 2019,lark40,10," The vacuum that's left + Ideas been stolen disrupt elements in his new journey he is Fury ious that he can't get away from his role + d blip that happened vacation no chance
","In the wake of Avengers: Endgame he is feeling the effects of it. a vacation out of the neighbourhood is what's needed which takes him on Web of highs global tour spinning is his Web far a wide away from tom Holland had really grown into his character has been a savy choice ever since he had stealth camoe in iron man 2 he found a father figure hoping to find love with MJ an endearing and zeendaya and who is sharp cool classmate in the early scene but the comedy scenes his efforts don't go according to plan and his and with them flying on the plane his friend Ned played by Jacob Batalon hits it of with book nerd called Betty which you don't see coming forming the weird romantic getaway he tries to Peter plus this continues across their euro Rd trip to hilarious and effects of a strike on Peters love rival on the Rd so been a ghost leaves nick wondering is he what stark wanted
To be a young leader when he and he gets Tony stark on glass with Edith who he gets his trip more exciting which controls all his tech toys and but in the wrong hands will have consequences of dark pasts skeletons in a very large a long line of
this film has a sense of humour and a cast that is up for it begrudgingly agrees to help Nick Fury uncover the mystery of several elemental creature attacks, creating havoc across the continent the attack in Venice helping Mysterio .Jake Gyllenhaal plays a blinder with this mysterious and character a runs riot he appears as Mysterio, a character from an alternate Earth that was piled on by the Elementals, so he's out for revenge.
Czech Republic fire attack at the ferris wheel which he discovers what the links are to the attacks and the chaos of London all out rampage of disaster but in between he has happy exploring things with him and his closness when he needed to so we have the Pete tingle sense he will need this as these scenes are class using his new sense to feel his environment its like a video game in reality its fun and with two best post credit scenes in mcu with a blast from the spidey universe giving breaking news or fake news can spiderman feel his new tingle sense to not get caught in a Web of conspiracy and the era of 24hr news and the spread of fake news that's surrounds him and people with ulterior motives might just spin a Web of lies to create an antihero and the vacuum left by stark has left a legacy of both avengers and his businesses were his technology can be missused
Enjoy the experience and its one hell of a blip marvel keep coming back with stunning ideas.
Like a foreign species out of water he comes home to his nest only to discover a better hidden Agenda only two people know shiver my tingles SPIDERMAN. 10/10",/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
23,13 July 2019,thesar-2,8," Now You Spider Me 3
",I swear Peter Parker has more costume changes than Cher has in all her Farewell shows.,/review/rw4974512/?ref_=tt_urv,SpiderMan_Far_from_Home_2019
