,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,4 July 2019,BA_Harrison,6," Raimi's Spidey is still the best (not including Part 3).
","I had a reasonably fun time with Spiderman Homecoming, but I have a few big issues that prevent me from loving it...",/review/rw3813393/?ref_=tt_urv,SpiderMan_Homecoming_2017
1,15 July 2017,pyrocitor,10," Welcome home, web-head
","Spider-Fans are a thick-skinned lot. And, in watching his attempts to crawl onto the big screen, we've taken some gut-punches. From the early, fun-but-twee Sam Raimi days to the murky, Marc Webb hipster days (to say nothing of the nightmare of 'Dancing Emo Peter' - a farce of idiocy the character will be lucky to ever shrug off), we've watched our boy take more beats than a bout with Doctor Octopus. So, even finally(!) reacquainted with his REAL parents - a Marvellous accomplishment in itself - dare we hope? In the face of so much misguided corporate overreach, hackneyed tonal imbalance, flagrant disregard for comic backstory, and (shudder) hip-thrusts, dare we dream the dream of a half-decent cinematic Spider-Man, for the first time in more than some viewers' lifetimes? ",/review/rw3813393/?ref_=tt_urv,SpiderMan_Homecoming_2017
2,7 July 2017,Anurag-Shetty,10," Spidey's back & he's better than ever.
","Spider-Man: Homecoming continues with the adventures of Peter Parker/Spider-Man(Tom Holland), following the events of Captain America: Civil War(2016). Peter juggles his high school life & his crime fighting life, as Spider-Man. He has help from Tony Stark/Iron Man(Robert Downey Jr.). Peter's life gets complicated when Spider- Man faces his most formidable adversary yet, Adrian Toomes/Vulture(Michael Keaton). Now, it is up to Spider-Man to stop the Vulture, before it's too late. ",/review/rw3813393/?ref_=tt_urv,SpiderMan_Homecoming_2017
3,20 July 2019,JoBloTheMovieCritic,9," Spider-Man: Homecoming
",9/10 - such a fun and refreshing comic book film that has incredible rewatchability.,/review/rw3813393/?ref_=tt_urv,SpiderMan_Homecoming_2017
4,27 August 2021,BoilerYor,2," Painfully Generic
",Marvel Studios is the cinematic equivalent of McDonald's. Crushing any creativity and selling their version of Happy Meals at record quantity but no quality.,/review/rw3813393/?ref_=tt_urv,SpiderMan_Homecoming_2017
5,13 December 2018,brandonius-23056,10," Amazing
",Tom Holland really captures the heart of the character. Well paced. Michael Keaton is the 3rd best villain in the MCU behind Thanos and Loki. Great. Best Spiderman movie,/review/rw3813393/?ref_=tt_urv,SpiderMan_Homecoming_2017
6,21 October 2017,claudio_carvalho,1," Overrated, Boring, Unfunny, Annoying Lead Actor, Nothing Works for an Adult
","""Spider-Man: Homecoming"" is the worst Spider Man ever made, totally overrated, long, boring and unfunny. The annoying lead actor Tom Holland, has an irritating tone of voice. The screenplay and the actor unsuccessfully try to be funny, but unfortunately nothing works in this film that looks like a spoof, at least for an adult. My vote is one (awful).",/review/rw3813393/?ref_=tt_urv,SpiderMan_Homecoming_2017
7,6 June 2020,twpain,10," Amazing
",Spider-Man Homecoming is a refreshing Mcu film. It's very fun and lighthearted with great characters and entertaining scenes. The action sequences are very good and the movie knows when to be goofy and when not to be.,/review/rw3813393/?ref_=tt_urv,SpiderMan_Homecoming_2017
8,20 September 2018,randreww,2," Spider-Boy!
","After the more adult cliff hanger of the last film, one would expect Spider-man to follow a more mature & intelligent return than this spin-off slop! 
What is this? Spider-Kid?",/review/rw3813393/?ref_=tt_urv,SpiderMan_Homecoming_2017
9,8 July 2017,cruise01,9," Pure fun, Tom Holland did not disappoint. May be one of the better Spider-man movies but not Marvels best film.
","The friendly neighborhood Spider-man is back and better than ever. Hearing about another Spider- man movie being rebooted within 15 years after Sam Raimi's films and The Amazing Spider man being the second reboot. The thought of seeing the origin story for a third time would have been exhausting seeing another adaptation of Peter Parker taking the big responsibility of being a hero and witnessing Uncle Ben being killed off. However, Spider-Man: Homecoming takes place after Captain America Civil War and no background story to how Peter Parker became the webslinging hero. Homecoming works well more as a coming of age movie as Peter Parker is going through his sophomore year of high school and wanting to have a bigger purpose in joining the Avengers. ",/review/rw3813393/?ref_=tt_urv,SpiderMan_Homecoming_2017
