,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,24 February 2020,MrHeraclius,," Thor
","Thor is a film that takes risks - and they pay off wonderfully. The movie grounds itself in reality while keeping a mythological and fantasy-esqe tone, and it never loses sight of the humanity within the characters, with elevates this above standard superhero fare.",/review/rw2429213/?ref_=tt_urv,Thor_(2011
1,3 June 2011,rparham,8," Thor proves a strong contender
","In the pantheon of Marvel Superheroes, from my vantage point, Thor is a second-tier player. Even amongst non-obsessive comic aficionados, such as myself, Thor doesn't quite have the readership draw or the common familiarity in the public that heroes such as Spider-Man, Batman, Superman, etc., have. However, that doesn't mean that Marvel Studios, the filmmaking wing of the company, feel inclined to give the filmic adaptation of Thor short shrift. The cinematic entry for this character, titled simply Thor, is among the better of the Marvel adaptations of recent years, mixing a good sense of fun, strong acting, and some Shakespearian level drama that makes for an especially entertaining time at the movies.",/review/rw2429213/?ref_=tt_urv,Thor_(2011
2,18 April 2011,sidfargas,," Intelligent and fun comic-book popcorn epic!
",Thor was much much better than I expected. I didn't know if they could pull of the balance between the Norse mythology stuff and the real world Marvel Universe. I should've known better because Marvel knows their characters and knows what we want to see. Spider-Man set a new standard for the superhero film genre back in the day. Iron Man upped the ante. Thor takes the ball and runs with it and places that bar even higher. I look forward to seeing it again and know it will do well enough to be worthy of a sequel because word of mouth is going to be great. Trust me when I say Thor REALLY IS as good as Iron Man and is most worthy to be called one of the greatest adaptations ever.,/review/rw2429213/?ref_=tt_urv,Thor_(2011
3,19 June 2019,Top_Dawg_Critic,10," One of the best MCU stories and productions
",Who knew Thor was the perfect drinking buddy and is domesticated lol? Perfect writing. Perfect directing. Perfect casting. Perfect cinematography. Perfect amount of S/VFX. Perfect score. Perfect comedy/drama/thrills. Etc... 10/10,/review/rw2429213/?ref_=tt_urv,Thor_(2011
4,21 September 2011,bob the moo,," Distracting spectacle but disappointingly empty of ideas and full of franchise ""stuff"" (mild SPOILERS)
","I had heard a lot of good things about this film before I eventually saw it. I had decided that I wasn't going to go and pay loads of money to sit in noisy cinemas and be bombarded with disappointing blockbusters this summer, but I figured that this had enough good word of mouth to be worth seeing. After watching it I browsed through the user comments here of writers I generally trust and found that most of them had loved it too; so why did I find it to be all a lot of fuss and nonsense that ultimately amounts to very little?",/review/rw2429213/?ref_=tt_urv,Thor_(2011
5,13 September 2011,adrongardner,5," Thunder? More smoke and mirrors
",Plain and simple - when the humans show up the movie dies a slow death.,/review/rw2429213/?ref_=tt_urv,Thor_(2011
6,20 April 2011,theycallmemrglass,8," An immensely enjoyable Marvel entry that complements the tone of Iron Man films
",I watched this last night at a preview screening in London.,/review/rw2429213/?ref_=tt_urv,Thor_(2011
7,25 September 2011,claudio_carvalho,7," Entertaining Adventure
","In 965 D.C., in Tornsberg, Norway, the Frost Giants from Jotunheim led by King Laufey (Colm Feore) attack the locals, and the Allfather Odin (Anthony Hopkins) and the warriors of Asgard protect the humans and win the battle against the invaders. They take their source of power and bring it to Asgard and they start an armistice with Jotunheim. ",/review/rw2429213/?ref_=tt_urv,Thor_(2011
8,6 May 2011,dvc5159,6," Kenneth Branagh adds heavy dramatic depth to an already quite-unusual superhero flick
","Alright, back when this was into preproduction, I (and so many comic book fans) were surprised when Branagh was slated to direct. Here we have Thor the god of lightning and his mighty hammer, directed by a man who works mostly around William Shakespeare plays.",/review/rw2429213/?ref_=tt_urv,Thor_(2011
9,28 December 2019,AngelHonesty,7," Fun movie
","Great movie! Has a comic book feel to it. The storyline is very well done! I love how they show Asgard and explain how everything fits into place. The humor is very tasteful, but can be oddly quirky in places. Lots of fun action. The only thing that could have used some improving was the way they filmed the movie. The shakey camera and weird angles are a little annoying, but the rest of the film makes up for this. Very good choice in the cast, could not have picked a better actor for Thor or Loki. Natalie Portman's part isn't the best. She has cheesy lines and her acting doesnt flow right, even though she is a talented actress. She does better with serious parts inatead of light and comical. This movie is very clean and makes a great fun movie for the entire family.",/review/rw2429213/?ref_=tt_urv,Thor_(2011
10,29 April 2011,namashi_1,9," Entertainment At It's Best!
","Based on comic book character of the same name published by Marvel Comics, 'Thor' is Entertainment At It's Best! Put on your 3D glasses, and I can assure you, your in for a roller-coaster ride, that is filled with stunning effects, entertaining moments & intriguing performances.",/review/rw2429213/?ref_=tt_urv,Thor_(2011
11,28 June 2020,Bioscopic_Wonders,," A perfect popcorn entertainer...
","The Marvel magic continues with Thor, as they create yet another throrouly enjoyable, fun, action packed and humourous adventure, where we're introduced to a bigger universe extending far beyond Earths realm.",/review/rw2429213/?ref_=tt_urv,Thor_(2011
