,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,7 July 2022,masonsaul,6," Enjoyable but empty
","Thor: Love and Thunder does attempt to explore themes of love and loss whilst introducing the Mighty Thor and putting Thor on a journey of self discovery. However, it sadly doesn't work as well as it should due to a rushed pace and way too many jokes that are almost never funny.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
1,20 July 2022,blott2319-1,3," Worst MCU yet, things keep getting worse...
","I think most people thought it was a big mistake when Disney cut ties with Lord & Miller before they completed their Solo film. Now I'm not so sure. It's a little off-putting having a downright farcical movie in an established cinematic universe. Thor: Love and Thunder is about as grounded as a Naked Gun movie, but for some reason the comedy rarely hits for me, where I can enjoy it in an actual spoof. I was surprised, despite the nearly constant attempts at humor, the crowded theater I was in rarely did more than chuckle. If they're going to make a straight-up comedy then they need it to be more laugh-out-loud funny. Of course comedic taste is extremely subjective, so I'm sure some people enjoy laughing along. I just wish it was as effective as Taika Waititi's other films have been for me (including Thor Ragnarok.)",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
2,7 July 2022,rockingruby,2," Christian bales great performance wasted in a joke of a film.
","Christian Bale is great, Russell Crowe has a good moment, Hemsworth is good but this movie cannot be saved from a terrible script, bad direction and stupid humour that overstays its welcome.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
3,9 July 2022,ryrymadrid,1," Very very disappointed
","I'm a huge marvel fanboy, and hardly ever have anything bad to say to about the MCU, but this was a huge letdown. Ragnarok is easily one of my top 5 marvel films , so was very excited to see this one, but this was really really bad. It was boring as hell and none of the jokes landed for me. First time in a marvel movie I really wanted to leave or wished it would end already. Huge waste of Gorr the god butcher. And the whole Zeus and Olympus part were so cringe worthy. I don't know how this got made. It was garbage.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
4,14 July 2022,TakeUpReel,3," Nearly a 2-hour SNL skit
","...Well, maybe not SNL-esque throughout the full length of the movie, but most of the film was a (poorly delivered) ""comedy.""",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
5,8 July 2022,lawrencelawrence86,5," Bale good, the rest kinda weak.
","Fine seems to cover it, Disney has become fine, everything is fine. It has got to the point where if spending your time aimlessly going through your phone for 2+ hours or watching a marvel movie is a bigger waste of time.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
6,10 July 2022,gy-att,5," Too sily, feels like it's own parody
","Movie is okay. Christian Bale is awesome, Chris still can't act, but we never liked him for his talent, rest of the cast brings what they have to the whole movie is an average Disney factory work, everyone knows their job and they execute is as they should. The story has too many silly jokes. I know Waititi's style, but now he feels like his own parody. Like those Scream parody Scary Movies.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
7,9 July 2022,PsychoBeard666,4," I think 4/10 is generous
",I can't be bothered typing an essay so I'll sum up:,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
8,13 July 2022,mluinstra,3," And another franchise destroyed. Disney strikes again.
","There are so many things wrong with this film, I'm not sure where to start. Bale was good, and Helmsworth did what he could with what he was given, but the script was just so bad.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
9,8 July 2022,afatedcircle,3," You CAN try to make a movie too funny.
","First off let's start by asking what gods Gorr the GOD BUTCHER actually butchered? Some off screen, one he killed that was far from butchering at the beginning of the movie, apparently cut off Sif's arm but at no point did he seem like this absolutely terrifying villain he should have been. Thor, Valkyrie and Jane never seemed afraid of him in the least. In fact, in the times they were captured they were never hurt, Thor just kept making wise cracks and in the battles Gorr never seemed to have an upper hand other than wounding Valkyrie who was apparently never even close to death. Christian Bale played the character wonderfully but the script was just bad.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
10,8 July 2022,FeastMode,5," Highly disappointing
","This review will come off as very negative, but I had a decent time, laughed a lot, and was fairly entertained. As a big-time MCU fan though, Love and Thunder is highly disappointing, even more so for an OG Avenger.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
11,14 July 2022,FallenEye,3," Thor: Nepotism and Narcissism. The Family Vanity Venture.
","Every million Thor: Love and Thunder makes, is a million Marvel Studios and Disney has stolen, in the true meaning of the word, from fans. And believe me when I say that this farce of a movie is so vacant, that there really is nothing to spoil.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
12,8 July 2022,mindlessmoviemaster,1," Thor: Bore and Blunder.
","This just another Disney Marvel film. All it is bad jokes and even worse directing. Now we have girl Thor that's not even an asgardian. The film doesn't take its self serious enough, was in a packed theater and most the jokes didn't land. I felt like why is the audience so quiet? Don't waist your money or time on this take the kids to Minions.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
13,8 July 2022,dude5568,5," Below Average
",The film fails to meet the expectations of a great sequel. The Director is over reliant on unnecessary and childish humor. Christian Bale's character is underdeveloped for the most part. Zeus is a forgettable character in the movie. Thor does bring some fun to the movie but it does not help the film recover at any point. I would not rush to the Theaters for this sequel. O what a missed opportunity 👎.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
14,7 July 2022,UltraMaximal,1," Crash Of A Franchise
","Marvel films have never been for a smart audience. But turning a character like Thor and many others into a Clash Of The Titans rom-com really seals the fate of this incarnation of the MCU. There really is nothing new here save for Thors butt, which nobody ever asked for. But serves to show just how low Marvel will go for toilet humor.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
15,6 July 2022,melcraig204,2," It's a joke
",I feel like I've just watched a movie written by a bunch of school kids. They threw everything funny they could think of against the board and literally forgot everything else that makes a good movie. As a result nothing else in this movie means anything...it's a green screen completely detached from reality...,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
16,6 July 2022,jiggler-88714,3," It's a Joke
","Everything is a joke, even when it shouldn't be, leaves the movie itself as ""a joke"" itself.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
17,6 July 2022,mustangride,2," Who wrote this garbage?
","I am at a loss for words, it is childish but not even that. It is actually hard to put this to words.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
18,8 September 2022,Xstal,3," CGI Thursday's...
","The Gods of Chore desecrate with poor humour, this must surely be, a Marvel lampooner, while a dark necromancer, a metaphorical cancer, wages war with his shady black tumours. There's a Crowe God takes us to new lows, waffles along with ridiculous prose, but he isn't alone, most of this makes you moan, you're relieved when it gets to the close.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
