,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
0,23 February 2020,MrHeraclius,," Best Movie in THOR series
","The cast for Thor Ragnarok are all matched well, and the sibling chemistry between Tom Hiddleston and Chris Hemsworth is as natural as can be. Cate Blanchett as Hela, the goddess of death is frightening in her cruelty as well as physical perfection. But, the reason this movie stands alone is the multi talented Taika Waititi, the director of the film. His offbeat New Zealand style shows in every scene, humor throughout and a rocking 80s electronica soundtrack, the film will transport you as fast as Heimdall and the Bitfrost!",/review/rw4234739/?ref_=tt_urv,Thor_Ragnarok_2017
1,28 September 2021,SPZMaxinema,9," The best Thor yet!
","The action and humor mixed up in this movie was done with such quality that you forget about the problems with it, if there are even any at all! Thor kicks butt along with both new and old friends of his and unforgettable superhero power scenes that will make you smile! This was especially great seeing it in theaters!",/review/rw4234739/?ref_=tt_urv,Thor_Ragnarok_2017
2,27 October 2017,ctowyi,8," This Thor is Thor-some!
","Frankly, I didn't like the first two Thor movies, the game plan was so clear from the get go. Same old ""save the world"" routines, brooding hero with a burden, a love connection born out of necessity and bloated battle scenes. It is the same blueprint for many superhero movies, but Thor has the God element that made the stories feel even more preposterous and ridiculous. It is hard to be vested in his quests because God don't die, hurt as much and can always employ one last deus ex machina that solves the unsolvable problem. But Thor: Ragnarok throws that over-used game plan out from Bifrost into an unknown territory, making it this year's best superhero movie. I know I know Justice League has not descended, but looking at the trailer it doesn't take a genius to see that it will be doing the above-mentioned routine.",/review/rw4234739/?ref_=tt_urv,Thor_Ragnarok_2017
3,19 October 2020,joiningjt,10," The best marvel movie of them all!! Humor and action!!
",This us a phenomenal movie has the whole super hero package plus some great humor. An incredible villian played by the flawless Cate Blanchett!! I like this even more than any of the avengers movies. This and guardians of the galaxy are the flagships of the marvel franchise.,/review/rw4234739/?ref_=tt_urv,Thor_Ragnarok_2017
4,22 October 2017,TheLittleSongbird,10," Thor and Marvel Cinematic Universe are at the top of their game
","Really enjoyed the first 'Thor' and loved even more its bigger, darker and bolder follow-up 'Thor: The Dark World'. 'Thor: Ragnarok' manages to be the best of the three, and is not just a strong contender for the funniest Marvel Cinematic Universe film (yes even more so than the 'Guardians of the Galaxy' films) but also one of their best to date.",/review/rw4234739/?ref_=tt_urv,Thor_Ragnarok_2017
5,29 October 2017,Troy_Campbell,9," Popcorn-blockbustering of the highest order.
","Being the 17th instalment into the Marvel Cinematic Universe (MCU), and the third in the solo-Thor series—generally the least liked within the MCU—it wouldn't be surprising if this cosmic adventure showed signs of repetition and fatigue. It doesn't, not one bit. The opposite is true in fact, thanks to the unique energy and ingenuity brought from New Zealand director Taika Waititi (Hunt for the Wilderpeople, What We Do in the Shadows). Waititi's comedy background is noticeably in full swing, the previously darker Thor outings traded in for a laugh-heavy vibe closer to Guardians of the Galaxy – the movie Ragnarok shares top spot with, as the MCU's funniest film. A throwaway gag about scissors from a side character made of rock (mo-capped and viced by the director himself) is pure Waititi, and the franchise's best one-liner since Chris Pratt's Starlord appreciated the artwork of Jackson Pollock. Of course a big budget means big action, and there's plenty here to thrill and delight: a tone-setting smack down of a fiery underworld demigod, a bruising gladiatorial contest between Thor (Chris Hemsworth) and Hulk (Mark Ruffalo), an exhilarating spaceship chase, and the breathtakingly electric finale. This threequel is visually distinct too, Waititi opting for a grungy-disco 80s atmosphere over the more theatrical opulence of the first two Thor flicks. His use of slow-mo, backed to Led Zeppelin's 'Immigrant Song', for two key moments, is simply brilliant. Supporting Hemsworth, who has never been better as the macho God of Thunder, is Tom Hiddleston as fan favourite bad-good guy Loki, Cate Blanchett as the sneering God of Death Hela, Tessa Thompson as the cocky warrior Valkyrie and Jeff Goldblum as the eccentric Grandmaster, plus a raft of awesome cameos. A few minor nit picks: Idris Elba seems bored as the returning Heimdall, two previous major supporting characters (both females) are conspicuously absent, a talking Hulk doesn't quite work, and the narrative-retcon work could've been more subtle. But when a movie is this damn entertaining, a few quibbles are easily forgiven. Comfortably taking its place in the top echelon of MCU films, Thor: Ragnarok is hilarious, invigorating and popcorn-blockbustering of the highest order.",/review/rw4234739/?ref_=tt_urv,Thor_Ragnarok_2017
6,12 October 2020,auuwws,9," Ragnarok
","The best movie for a separate character from a Marvel movie is a very funny movie even though the villain is frustrated. After you smashed Thor's hammer, you didn't do the big thing.",/review/rw4234739/?ref_=tt_urv,Thor_Ragnarok_2017
7,30 October 2017,ferguson-6,8," Zeppelin, Cate, Goldblum
","Greetings again from the darkness. The ultimate cinematic dilemma  how to make the next comic book movie stand out from the (many, many) others? The brilliant answer comes from director Taika Waititi and co-writers Eric Pearson, Craig Kyle and Christopher Yost – a screwball superhero action film that delivers not only the required alien war scenes, but also a campy villain for the ages in a movie that may be the funniest of the year.",/review/rw4234739/?ref_=tt_urv,Thor_Ragnarok_2017
8,16 May 2018,Platypuschow,8," Thor Ragnarok: Marvel deliver yet again
","I admit it, I'm not exactly a Thor fan. I think the first two Thor feature films were passable efforts but paled in comparison to other heroes outings. For this reason I went in expecting a whole lot of meh!",/review/rw4234739/?ref_=tt_urv,Thor_Ragnarok_2017
9,24 October 2017,Padreviews,9," Superb tongue in cheek Fantasy Sci Fi 9/10
","I have to admit this blew me away , I wasn't expecting to enjoy it but this was a really funny enjoyable piece of entertainment. ",/review/rw4234739/?ref_=tt_urv,Thor_Ragnarok_2017
10,16 October 2017,MiroslavKyuranov,8," Madness!
",This movie is one hell of a journey!,/review/rw4234739/?ref_=tt_urv,Thor_Ragnarok_2017
11,29 October 2017,FallenEye,7," RagnaRock, Paper, Scissors?
","There are two ways one can take oneself too seriously: 1. The Twilight Saga way or 2. The Dark Knight Trilogy way. What I mean is, Twilight was silly in taking itself seriously, because seriously, it didn't have the maturity required, both because of its directors and cast, to portray the necessary emotion for the desired results of profoundness. The Dark Knight Trilogy on the other hand, is like age old whisky; Swirl, smell, sip and swallow.",/review/rw4234739/?ref_=tt_urv,Thor_Ragnarok_2017
