movie_title,reviewer_name,review_text,is_rotten
Cocaine Bear,Mark Asch,"Cocaine Bear will, in time, stand as a dated artifact of the current moment's vogue for viral animal videos and epic memes.",True
Cocaine Bear,Wenlei Ma,This is a movie that makes no apologies for trying to make you howl in laughter and disgust – at the same time.,False
Cocaine Bear,Dmitry Samarov,"Save yourself the price of admission and just watch the trailer if you haven’t already, or—better yet—make your own TikTok version. It’ll be funnier and will cost viewers a lot less time.",True
Cocaine Bear,Matthew Lickona,"Why does the bear kill everyone it meets during its drug rampage except for the one person it decides to kidnap? Why don’t people with guns shoot the bear when they have the chance? Because the movie needs to happen, that’s why!",True
Cocaine Bear,Odie Henderson,"French New Wave director Jean-Luc Godard allegedly said that all you needed for a good movie was “a girl and a gun.” If the movie is called “Cocaine Bear,” all you need is yayo and a clone of Yogi.",False
Cocaine Bear,Adam Nayman,[It] acts like it’s above the clichés it’s stringing together.,True
Cocaine Bear,Max Weiss,"The film is well made, efficient, clever, and some of its funny lines will have you, um, snorting. But in the end, it’s still about a bear on a coke binge.",False
Cocaine Bear,Matthew Monagle,Cocaine Bear is a success...by putting the emphasis on a handful of extremely gnarly kills and sprinkling in just enough weirdness to keep the entire train moving.,False
Cocaine Bear,tt stern-enzi,Incredibly funny and surprisingly gory.,False
Cocaine Bear,Kevin Maher,Elizabeth Banks takes this real-life curio and slams it up against the “killer animal” genre with mostly pleasing results.,False
Cocaine Bear,Wendy Ide,"It may not be Grizzly Man meets Scarface, but it leaves Snakes on a Plane standing on the runway.",False
Cocaine Bear,James Berardinelli,"When it works, it’s like the fusion of an ultra-violent cartoon with the Pulp Fiction scene in which Vincent Vega accidentally shoots Marvin in the face.",False
Cocaine Bear,Tyler Austin Harper,"In an atmosphere in which it is all too easy to feel suffocated by climate anxiety, Elizabeth Banks’ film cuts through our ecological malaise.",False
Cocaine Bear,Stephen Romei,"This is certainly a different film. As edgy as it is, it could have been edgier, and the plot sags a little towards the end. But with the latest Ant-Man topping the box office, it wins points just for being different.",False
Cocaine Bear,David Sims,"Cocaine Bear could’ve been a triumph if the jokes landed, but the zingers just aren’t up to the mayhem. And though the character actors are all capable of sterling work, there’s nobody to root for here.",True
Cocaine Bear,K. Austin Collins,"The pleasure’s in the crass, goopy excitement of it. It’s kind of a put-on, but the movie gets by on being surprisingly blood-soaked where it counts.",False
Cocaine Bear,Donald Clarke,"This is a rare film that extracts humour from younger teenagers shovelling down cocaine on penknives, but elsewhere the tone is closer to something produced by Steven Spielberg.",False
Cocaine Bear,Oliver Jones,The primary sin of Cocaine Bear... is its complete inability to balance the film’s twin directives of broad comedy and shock horror.,True
Cocaine Bear,Ty Burr,"While “Cocaine Bear” mostly succeeds at the task, it’s still low-end comedy-horror schlock, no more and no less.",False
Cocaine Bear,Leah Greenblatt,"In every dumb and delightful way, it's just about a bear, standing in front of the world, asking for more cocaine till she explodes.",True
Cocaine Bear,Bilge Ebiri,"Cocaine Bear is just as good as it needs to be. If it were any better, it probably couldn’t call itself Cocaine Bear.",False
Cocaine Bear,Gary M. Kramer,Many of the set pieces in director Elizabeth Banks' one-joke film are shocking because they are so boring. This film promises laughs and scares but manages to deliver neither.,True
Cocaine Bear,Esther Zuckerman,"It’s not a bad time, exactly, so long as you can tolerate copious amounts of blood. But if you’re going to do a Scarface-meets-Yogi Bear hybrid, it should have more than one note.",True
Cocaine Bear,Hannah Strong,"In the age of franchise domination and streaming service supremacy, there’s nothing quite like sitting down with a packed house to watch something outrageous on a giant screen.",False
Cocaine Bear,Glenn Kenny,"As a crass grind-house picture, the notion of a bear on a rampage after ingesting accidentally air-dropped cocaine (of 1985 grade, yet!) is solid. This is a studio picture with A-list names, and it does deliver goods.",False
Cocaine Bear,Venessa Wong,"It’s too campy and self-deprecating to be an indelible work of cinema, but that’s not the point: It’s original, and it’s a very good time.",False
Cocaine Bear,Christy Lemire,"An incredible blast, especially if you have the benefit of seeing director Elizabeth Banks’ insanely violent comedy/thriller with a packed crowd ... “Cocaine Bear” will bring people together. “Cocaine Bear” will save cinema.",False
Cocaine Bear,Jason Zinoman,"“Cocaine Bear” too often feels like a one-joke movie, stretched thin.",True
Cocaine Bear,Peter Travers,"A bear does cocaine and kills people. Director Elizabeth Banks revels in deliciously cheap thrills, but then treats her overqualified actors (Keri Russell, the late Ray Liotta) like bear chewtoys while the overcrowded script drifts into hibernation.",True
Cocaine Bear,Anthony Lane,"The excess, however gleeful, is that of a film paying anxious tribute to itself. Look, it seems to shout, here’s an apex predator becoming a homicidal junkie! What did you expect?",True
Cocaine Bear,Nick Schager,The only snorts it warrants are of the disdainful variety.,True
Cocaine Bear,Ian Freer,"It’s a great premise but, over-populated by dull characters and a flat feel, Cocaine Bear is sadly a party animal that never gets started. Not quite a coke zero but close.",True
Cocaine Bear,Charlotte O'Sullivan,"While watching Cocaine Bear, you can actually feel your IQ level tumbling. Yep, it was right up my alley. I yawned through the first act, but spent the next hour either gasping or giggling.",False
Cocaine Bear,Sara Michelle Fetters,"Cocaine Bear does not try to sell itself as something it is not. There is a bear. It is addicted to cocaine. It proceeds to kill several people. Gory, whacked-out weirdness transpires over an economical 95 minutes. That’s it. That’s the movie.",False
Cocaine Bear,Cary Darling,"Simultaneously gruesome and amusing...The film never devolves into ""Bearnado."" On the other hand, it's no ""Jaws"" either.",False
Cocaine Bear,Michael Phillips,A movie high on its own supply of mediocrity.,True
Cocaine Bear,Kyle Smith,"The supposedly wacky bits aren’t funny, Ms. Banks evinces no gifts for suspense, and the pacing is all off. It’s hard to say whether it’s the script or the direction that is more responsible for the clunky, slow feel.",True
Cocaine Bear,Mark Kennedy,"Aping other genres of filmmaking, this one never finds its own voice or a way to integrate the ultra-violence with the dark comedy. It’s like a parody of a parody that director Elizabeth Banks has turned limp and pointless.",True
Cocaine Bear,Jake Wilson,"Perhaps no actual movie could live up to the ideal simplicity of such a premise. Still, I went in with high enough hopes to be taken aback by the sheer awfulness of this campy horror-comedy.",True
Cocaine Bear,Deborah Ross,This is basically a marketing concept put on screen. And it’s not that much fun seeing a computer-generated image attack sentient beings who may as well have been made out of cardboard.,True
Cocaine Bear,Robbie Collin,Doesn’t so much insult its viewers’ intelligence as actively libel it.,True
Cocaine Bear,Bill Goodykoontz,"Absurdity is what we came for, and “Cocaine Bear” could use even more of it.",True
Cocaine Bear,Justin Chang,"“Cocaine Bear,” like most movies that turn schadenfreude into entertainment, does a reasonably good job of both scrambling and satisfying your expectations.",False
Cocaine Bear,Danny Leigh,"At the risk of sounding like a buzzkill, it does also become clear that the film has no clue what to do with its one essential gag beyond repeating it.",True
Cocaine Bear,Radheyan Simonpillai,"The movie, about a doped-up black bear, is a much more lethargic affair, as if the apex predator’s supply was swapped out for some Ativan.",True
Cocaine Bear,Adam Graham,"Cocaine Bear isn't smart dumb, it's just plain dumb.",True
Cocaine Bear,Richard Roeper,"Wildly entertaining and darkly hilarious B-movie blood-fest, which proves to be more than just a fantastically ridiculous title and a viral marketing campaign.",False
