movie_title,reviewer_name,review_text,review_score
Cocaine Bear,Kenneth R,This movie had no business being this funny! I enjoyed every minute!,5
Cocaine Bear,Jo & Co,"Cocaine Bear was dreadful in every single department. Jo and I are avid cinema goers. We are both OLD! Our ages range from 79 - 88. I cannot remember such a terrible movie. the acting started out bad and, even though we thought it was impossible - it got worse.

It was hailed as a horror/comedy. Neither was evident. ""It is loosely inspired by the true story of the ""Cocaine Bear"", an American black bear that ingested nearly 75 lb (34 kg) of lost cocaine"" - Wikipedia.

Sadly, even Ray Lotta - an actor I have loves, especially playing villains, was bad. Even worse this movie was dedicated to him as he died soon after the movie was made. He also died (acted) in this awful movie.

I am amazed that on Rotten Tomatoes 67% of 299 critics' reviews are positive!! They had to have been watching a different version. The only thing I can agree with is at the 2023 MTV Movie & TV Awards, Cocaine Bear was nominated for Best Villain (the bear)!

Both of us were hoping the bear would devour every single actor in this movie - way before the hour and a half of the scheduled running time of the movie. He very nearly did!",1
Cocaine Bear,ARo,"An entertaining movie with equal parts gore and giggles.  I'd watch it again.  ""Based on a true story"" is a bit of a stretch, but I guess that's artistic license.",3
Cocaine Bear,Jennie C,One of the best dumbest movies yet!,4
Cocaine Bear,Hector,"Interesting plot , different - not what I was expecting - but still good 😊👍",4
Cocaine Bear,Geraldine E G,was great movie some comedy was like the story line and made me jump out of my seat a couple of times,4
Cocaine Bear,Ryan H.,It's exactly what you are expecting from the title.,3
Cocaine Bear,Alejandro Robles,"Great, hilarious movie with dope cinematography all around.",5
Cocaine Bear,The Goose,"This is one of the dumbest movies I've seen in a while, but it is so much fun. What's written on the package is what you get.",5
Cocaine Bear,Mamatee,Super stupidity funny. Enjoyed it,5
Cocaine Bear,Douglas,"I found it funny, but also very graphic in violence. Not for the squeamish.",4
Cocaine Bear,Chris,It's fun but ultimately needed something more. Had some funny moments here and there,2
Cocaine Bear,Compa Casht,Best movie in a while ! Better the than scream by a long shot,4
Cocaine Bear,liz z,"Theres nothing not to like about this movie.  Funny, jump scares, awesome actors run, dont walk to see this movie!",5
Cocaine Bear,Don J,"Fun, but really silly movie.  Good one time watch.",3
Cocaine Bear,pete,"Had some very funny scenes and also some very gross ones, but all over the top.",4
Cocaine Bear,JD,Fucked up but hilarious. Hard to watch some scenes,5
Cocaine Bear,Teresa,About the only thing it had going for it was the fact its based on a true story. I thot a lot of the acting was pretty subpar and semi amateur at times.,3
Cocaine Bear,Jessica,very funny movie not for kids but hilarious for adults,5
Cocaine Bear,Wendy,About what I expected. Wish is would have been funny.,3
Cocaine Bear,Robert,It was better then I expected it to be.,5
Cocaine Bear,Maria,Not what I expected. A bit boring too much blood little comedy,2
Cocaine Bear,Maci,It was the best but it was 50 minutes late showing,5
Cocaine Bear,Stephen K,A horror movie with funny twists.,4
Cocaine Bear,Don,Dirty words lots of blood and guts  not much of a story line,2
Cocaine Bear,Yako,"I thought the kids were extremely funny in the movie, I also appreciated the talent that was involved and like seeing familiar actors. The only thing that got me that I liked and also disliked at the same time was that it was far fetched but it also worked to keep attention. Weather all was believable I am not sure because I have never heard of this situation before the movie. I would recommend and watch movie again, it does blow my mind and keep me thinking :)",3
Cocaine Bear,Kimani,Could have been funnier. Didn’t have me at the end of my seat,2
Cocaine Bear,gabs,"Everything I could have wanted from cocaine bear, and then some.",5
Cocaine Bear,Holly,It was funny but too gory at times!,4
Cocaine Bear,Toni,"I loved it, but I have a pretty dry, off the wall sense of humor.  For me, it had the right combination of elements of surprise plot twists, great characters, gore and off the wall humor.  I would watch it again!",5
Cocaine Bear,Doris Hull,"A few funny parts, way too much gore. Overall did not hold my (nor most people in the theaters) attention. Would NOT recommend!",1
Cocaine Bear,Corey B,"I figured this would be a story slightly more intricate than a homicidal bear on cocaine, but I was wrong.  It was very entertaining and gives you what it says it will.",3
Cocaine Bear,Patricia Williamson,I really enjoyed it. Great Movie,4
Cocaine Bear,Diana H,By far the worst movie Ive seen in a long time! The acting was terrible and the graphics are sub-par!,1
Cocaine Bear,Renee H,"Tasteless, gross and hilarious. Ill see it again!",4
Cocaine Bear,Steven,"Terrible storyline, terrible special effects, plot was very predictable.  Worst movie around .",1
Cocaine Bear,Mark S,I enjoyed the pace of the movie.  I enjoyed the silliness and I enjoyed the nature scenes.,3
Cocaine Bear,lance d,The real story of this movie was enough The embellishment and character development by the writers and producers was absurd Worst movie Ive seen in months,0
Cocaine Bear,Jearim,"Great movie. No political or any other agenda, and it felt how movies used to be just for entertainment and fun.",5
Cocaine Bear,Brandy P,Funny movie based on a true story!,5
Cocaine Bear,Jennifer,"Hilarious, insane, bloody, and just a simple entertaining movie.",5
Cocaine Bear,Patrick J,"Being a movie based on true story,it's seemed to be very exaggerating.But I did laugh alot, 2 time watch only flick for most part.",3
Cocaine Bear,Nathaniel M,Needed more cocaine bear.,4
Cocaine Bear,Robert,"The trailer was funny but beware, the movie itself is dumb and gratuitously violent. I would not have gone if Id known how stupid it was. Dave your money and your time.",1
Cocaine Bear,Kirk D,It was a gruesome biography,1
Cocaine Bear,Teresa,It was the worst movie ever,0
Cocaine Bear,Kelly,Not at all what the commercials made it seem - it had some funny parts but there was just ok much blood in my oponion,2
Cocaine Bear,Liza,"some parts were cool, but most scenes hung on way too long. This really could've been a shorter movie. it's on that bad but not really worth the time.",2
Cocaine Bear,Maddie,I’ve seen it 3 times already and honestly will probably watch again for a 4th time. 100/10 movie,5
Cocaine Bear,Kensley J,I liked the movie and it definitely had funny moments and minor gory moments. I will say it was a very chaotic movie in how the plot moves along but other than that I liked it,3
Cocaine Bear,Google,"It was entertaining, the side stories were decent and it had some pretty humorous parts.",3
Cocaine Bear,First L,"This is going to be a terrible way for Ray Liotta to be remembered. B movie not withstanding, groan.",1
Cocaine Bear,Anonymous,Movie tried too hard to be funny,0
